country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.17,0.29,0.58,0.69,1.74,3.34,4.51,5.97,8.36,9.93,11.36,14.91,16.75,23.49,28.63,33.80
Croatia,46.63,48.15,54.82,71.33,86.38,91.17,94.23,97.55,98.74,99.02,99.01,99.37,99.13,99.54,113.63,114.56
Cuba,17.44,24.27,33.79,46.09,60.47,70.37,78.64,86.81,90.27,92.21,93.19,95.25,97.20,97.62,97.89,98.06
Curaçao,42.12,49.54,55.22,68.02,74.44,81.90,85.24,86.80,88.70,89.69,91.08,90.79,91.81,90.03,90.97,89.67
Cyprus,12.96,18.15,26.91,41.41,53.13,64.61,77.71,87.35,91.57,93.02,94.57,96.16,97.43,98.12,98.76,98.52
Czech Republic,97.74,98.07,98.75,99.10,99.24,99.08,99.10,99.31,99.40,99.47,99.43,99.56,99.41,99.68,117.45,118.56
Democratic People's Republic of Korea,26.90,64.68,69.25,87.68,98.44,99.86,99.96,99.96,99.96,99.96,99.97,99.98,99.96,99.97,99.97,99.96
Democratic Republic of the Congo,0.49,1.05,2.34,3.41,7.73,13.19,17.62,23.17,27.88,34.94,35.87,40.56,37.20,48.82,51.60,55.50
Denmark,99.80,99.80,99.72,99.51,99.39,99.22,98.96,98.90,98.82,98.97,99.13,99.77,99.96,99.98,108.74,109.88
Djibouti,,,,,,,,,,,,,,,26.56,32.04
Dominican Republic,11.96,13.39,15.62,19.91,25.75,34.44,44.26,53.68,59.60,63.24,68.80,74.84,80.27,84.11,88.43,90.89
Eastern Africa,1.91,2.36,3.03,3.94,5.13,6.84,9.21,12.37,16.05,18.94,21.43,24.55,27.25,29.88,34.25,39.79
Eastern Asia,18.46,21.71,27.17,34.91,39.14,44.39,58.47,69.72,73.04,79.26,85.90,89.82,92.69,95.01,96.84,97.83
Eastern Europe,59.89,55.76,74.45,87.52,95.62,98.00,98.67,99.00,99.00,98.97,98.71,98.87,98.53,98.99,99.13,98.97
Ecuador,10.36,12.32,15.05,19.21,25.65,33.36,40.98,48.22,52.83,55.46,58.24,64.40,68.89,75.00,80.07,84.06
Egypt,3.49,5.03,7.19,9.51,13.87,18.84,24.94,30.61,38.70,47.36,54.69,62.76,69.03,74.48,105.10,113.70
El Salvador,5.45,7.34,9.30,11.81,15.00,19.22,25.69,32.63,38.62,43.46,49.63,54.46,59.75,65.38,70.32,74.41
Equatorial Guinea,0.21,0.62,1.56,4.15,5.64,7.46,9.08,11.04,13.32,15.93,15.45,15.80,22.10,26.96,32.29,38.12
Eritrea,,,,,,,,,,,,,,,26.56,31.91
Estonia,64.23,78.03,89.53,95.42,98.15,98.99,99.41,99.54,99.54,99.35,99.06,98.97,99.05,98.70,128.61,129.13
Ethiopia,0.15,0.20,0.25,0.38,0.64,1.03,1.72,2.59,3.57,4.80,6.66,8.87,11.15,14.55,20.10,27.03
Europe,57.08,56.03,68.99,77.13,84.11,89.53,92.73,94.63,95.57,96.31,96.94,97.62,97.56,98.16,98.35,98.21
Fiji,9.34,12.48,15.00,21.34,28.76,38.96,54.63,66.66,71.61,75.96,80.90,86.96,89.43,90.93,92.12,92.91
Finland,31.02,40.41,51.37,62.46,72.07,81.25,95.70,99.43,99.78,99.83,99.88,99.99,99.90,100.00,107.62,108.34
France,32.60,36.74,44.13,54.77,64.18,69.95,78.03,84.70,88.63,90.96,93.01,94.23,95.52,96.07,135.64,137.48
French Guiana,22.64,29.47,36.27,40.67,44.82,50.58,55.20,57.52,58.44,57.21,58.50,57.91,57.94,60.28,63.62,67.40
French Polynesia,14.06,22.08,27.40,36.55,51.37,61.07,67.84,74.61,82.17,86.97,91.79,95.47,97.00,97.88,98.41,98.62
Gabon,0.16,0.40,1.10,2.28,3.92,11.83,25.61,26.62,26.27,31.32,36.47,40.15,47.00,45.99,48.08,51.54
Gambia,0.01,0.08,0.53,3.31,4.61,4.59,4.57,6.81,11.92,15.13,20.71,30.25,39.02,48.11,53.31,59.72
Georgia,71.97,82.73,90.10,94.14,96.66,97.73,98.33,98.65,98.74,98.86,98.66,98.64,98.41,98.60,134.84,135.48
Germany,93.65,94.60,96.53,96.94,96.15,96.41,96.47,96.69,96.55,95.83,96.43,97.71,97.67,99.07,120.05,121.26
Ghana,7.51,10.02,11.92,18.16,24.87,36.81,38.54,38.81,38.36,40.67,46.18,52.12,55.73,59.82,65.14,69.80
Greece,16.02,20.71,23.24,31.07,40.04,55.01,64.82,75.80,85.41,90.07,91.51,92.63,93.89,94.34,128.08,129.39
Grenada,,,,,,,,,,,,,,,78.08,81.29
Guadeloupe,17.60,25.98,35.47,39.63,49.58,57.40,65.45,74.09,78.65,81.39,84.87,89.48,90.21,91.78,93.05,93.55
Guam,,,,,,,,,,,,,,,92.12,91.76
Guatemala,6.67,7.42,8.06,9.18,11.15,13.19,16.11,19.06,21.15,23.88,27.98,32.80,39.77,46.48,49.72,53.89
Guinea,0.21,0.39,0.63,1.02,1.81,3.65,5.10,4.78,4.19,4.05,5.34,9.02,14.34,19.93,24.39,30.85
Guinea-Bissau,0.10,0.19,0.36,0.68,1.23,2.17,3.62,5.45,7.89,10.90,14.25,18.01,21.04,21.19,25.90,29.05
Guyana,29.79,35.80,39.98,50.81,61.02,67.71,72.21,76.10,79.49,82.70,89.80,90.10,89.56,90.25,91.41,92.05
Haiti,4.39,4.88,5.63,6.52,7.84,10.10,12.95,17.10,23.27,28.83,38.28,40.38,39.97,45.21,51.89,57.98
Honduras,4.11,5.01,6.64,8.69,11.05,13.67,16.94,21.12,23.91,25.96,28.81,35.03,42.60,47.81,53.28,60.10
Hong Kong Special Administrative Region of China,7.31,12.13,22.41,31.56,37.72,44.45,57.07,72.65,83.72,87.08,91.35,94.72,97.56,97.99,143.62,143.73
Hungary,63.03,70.90,85.90,93.81,96.92,97.64,97.19,97.53,98.14,98.47,98.50,99.16,98.58,99.65,135.54,137.28
Iceland,99.97,99.88,99.92,99.92,99.95,99.91,99.95,99.92,99.88,99.92,99.98,99.98,99.95,99.93,108.75,109.55
India,3.52,4.83,6.73,8.28,11.05,15.21,19.19,22.27,25.79,30.46,36.63,46.13,52.64,63.79,72.85,79.53
Indonesia,2.71,3.91,6.23,9.90,14.17,19.49,22.73,29.70,41.12,50.62,57.54,64.80,72.89,77.05,87.82,92.32
Iran (Islamic Republic of),3.26,3.14,4.67,9.64,13.84,19.58,27.20,35.86,40.69,48.09,62.20,70.10,77.45,82.40,86.35,88.93
Iraq,0.92,1.65,2.90,8.10,11.62,11.39,20.37,28.11,29.60,27.79,27.40,32.59,34.33,42.12,51.41,58.67
Ireland,41.87,43.55,50.35,60.04,65.57,77.12,86.15,91.12,93.77,95.94,96.52,97.76,98.05,98.89,142.34,143.10
Israel,45.51,51.39,59.49,66.12,74.24,77.03,79.72,82.30,85.42,88.19,89.99,93.59,93.04,93.16,110.17,111.72
Italy,23.61,28.98,36.42,40.73,52.89,70.65,84.20,91.29,93.98,95.72,96.77,98.62,98.37,99.58,112.62,113.35
Jamaica,21.92,27.34,30.78,38.04,46.17,59.70,75.17,84.34,88.23,91.18,93.12,95.72,96.74,97.33,97.71,97.82
Japan,99.13,88.88,90.04,92.77,99.24,99.88,99.89,99.90,99.93,99.93,99.92,99.92,99.21,99.88,99.90,99.84
Jordan,4.06,6.16,9.68,44.28,50.96,54.85,58.52,62.03,63.59,64.58,62.06,66.24,71.72,76.51,101.87,106.92
Kazakhstan,53.73,60.21,73.61,83.48,93.85,97.56,98.78,99.21,99.23,99.21,99.23,99.26,99.18,99.23,99.30,99.20
Kenya,2.35,3.50,5.10,8.18,12.58,16.77,24.50,32.44,42.61,53.65,56.11,62.22,63.25,62.77,70.23,73.54
Kiribati,2.79,5.00,8.37,13.02,18.82,25.50,32.64,38.76,44.09,53.54,62.54,73.28,85.30,86.95,91.42,93.95
Kuwait,7.33,12.23,18.89,26.90,35.27,58.98,62.98,61.98,60.60,59.41,59.70,77.21,64.93,89.94,91.10,92.15
Kyrgyzstan,49.33,54.85,69.37,81.63,93.62,97.56,98.76,99.00,99.03,99.08,98.99,99.06,98.94,98.55,98.90,98.87
Lao People's Democratic Republic,0.36,0.65,1.17,1.98,3.40,4.65,8.00,11.39,15.98,16.42,17.28,23.36,29.72,36.64,46.43,55.85
Latin America and the Caribbean,12.95,15.66,19.44,24.56,31.27,38.57,45.92,52.47,57.71,62.50,67.21,72.42,77.07,81.31,84.59,87.42
Latvia,82.45,83.80,93.69,97.16,99.11,99.51,99.60,99.58,99.51,99.41,99.05,98.78,98.47,97.83,122.75,123.57
Lebanon,4.77,9.36,13.30,21.59,31.45,41.77,51.54,60.24,67.45,73.78,78.33,85.08,86.83,88.24,89.60,90.53
Lesotho,2.25,3.22,4.49,5.87,8.07,12.48,16.36,21.53,23.69,25.97,34.48,40.59,45.76,51.34,59.14,67.61
Liberia,1.54,2.11,3.13,3.57,5.52,8.98,11.93,15.36,17.30,18.45,21.97,23.14,22.69,29.62,34.64,39.53
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,81.00,85.03
Lithuania,39.25,44.78,66.62,82.47,95.77,98.91,99.36,99.51,99.50,99.24,98.61,98.55,99.33,97.99,129.15,129.20
Luxembourg,35.30,44.03,52.15,62.22,68.24,71.63,76.64,78.37,82.09,85.72,90.48,94.77,95.87,98.50,123.88,124.99
Macao Special Administrative Region of China,2.28,5.18,10.28,17.99,28.16,52.95,62.45,70.24,78.57,84.04,88.86,89.78,91.20,91.26,92.02,92.01
Madagascar,3.39,4.10,5.14,6.19,7.48,8.95,10.71,13.74,14.79,12.86,15.08,10.56,16.04,23.15,29.44,36.00
Malawi,2.53,3.06,4.17,6.14,8.83,11.55,14.30,17.17,20.08,23.45,28.87,34.42,39.79,44.42,50.79,56.68
Malaysia,5.30,6.93,9.59,16.03,21.98,42.96,53.59,69.80,79.23,84.34,86.88,91.57,93.47,96.61,97.28,97.15
Maldives,0.04,0.10,0.25,0.59,1.29,3.04,3.70,6.55,12.24,20.77,39.27,68.09,84.22,91.70,114.68,115.87
Mali,0.30,0.47,0.67,1.03,1.70,2.57,3.14,3.81,3.84,4.15,6.32,8.26,12.73,18.25,24.29,31.04
Malta,21.06,22.86,27.73,34.96,40.17,49.04,78.35,99.51,99.73,99.57,99.59,99.67,99.76,99.81,99.82,99.44
Martinique,5.04,13.31,34.31,44.04,53.31,61.01,69.40,76.41,81.95,87.41,89.44,93.22,91.82,93.29,94.44,94.77
Mauritania,,,,,,,,,,,,,,,30.01,36.35
Mauritius,3.94,5.83,7.88,10.21,13.84,22.39,31.73,42.31,46.13,50.47,56.22,68.44,74.46,84.38,88.99,91.76
Mayotte,,,,,,,,,,,,,,,94.06,94.27
Melanesia,8.96,10.93,13.20,18.38,24.88,33.00,44.43,53.11,57.12,58.71,63.87,69.81,71.06,73.65,60.51,65.71
Mexico,5.88,9.23,13.78,19.61,26.32,32.90,42.48,52.95,62.65,69.22,72.54,77.86,83.66,87.33,103.00,106.91
Micronesia,1.92,4.47,10.37,20.52,32.72,45.78,56.28,60.39,63.74,70.70,75.24,79.35,83.15,85.30,89.66,90.78
Micronesia (Federated States of),0.87,3.87,12.53,28.58,47.45,65.56,76.25,78.97,80.48,82.53,84.45,84.38,80.70,83.53,84.99,86.37
Middle Africa,0.69,1.12,2.01,2.89,5.85,9.31,12.98,16.46,19.89,24.96,25.99,30.19,30.54,39.96,44.30,49.48
Mongolia,16.85,27.84,38.42,54.08,69.54,78.01,85.67,91.26,94.42,95.09,90.59,91.66,92.36,93.43,94.05,94.58
Montenegro,25.01,39.74,49.28,56.88,77.18,87.11,91.63,95.22,96.95,97.42,97.17,97.17,97.43,96.30,116.05,117.57
Morocco,0.05,0.22,1.14,2.56,5.57,8.31,11.63,16.17,20.51,22.28,25.77,34.19,37.73,49.16,65.44,71.89
Mozambique,0.80,0.90,0.99,1.20,1.18,1.85,3.48,4.94,5.64,6.98,9.57,13.25,16.92,21.11,22.31,25.64
Myanmar,2.39,3.12,4.76,7.42,10.04,12.51,14.93,16.58,19.30,22.21,24.79,30.65,35.87,43.17,48.94,54.14
Namibia,5.99,7.80,9.81,11.34,15.48,17.81,24.80,35.22,48.11,54.16,55.02,58.99,64.41,65.16,63.76,66.26
Nepal,0.51,0.75,1.08,1.53,2.32,3.82,5.69,8.50,13.03,19.24,27.34,39.22,50.22,61.35,70.84,77.62
Netherlands,59.63,65.00,71.10,74.33,79.86,83.26,87.72,90.97,92.42,93.21,94.57,95.57,96.07,96.07,113.72,115.60
New Caledonia,26.62,28.37,31.74,37.67,45.93,55.29,65.35,76.09,85.58,92.03,95.24,97.48,98.29,98.68,98.88,97.97
New Zealand,44.75,55.63,65.76,74.43,80.97,85.63,90.50,92.38,93.76,94.86,95.53,96.12,95.93,97.06,135.66,137.62
Nicaragua,2.70,4.22,6.54,8.80,12.80,18.60,24.48,30.33,33.59,34.72,39.95,42.28,48.45,55.08,61.27,66.82
Niger,0.00,0.01,0.03,0.09,0.20,0.32,0.47,0.89,1.70,2.43,2.69,3.70,4.44,6.06,10.30,14.14
Nigeria,0.72,1.43,3.32,4.25,5.44,8.58,13.54,19.95,25.20,30.25,35.25,40.74,47.52,51.24,55.85,59.04
Northern Africa,1.75,2.63,4.00,5.87,10.06,14.20,19.10,25.39,33.31,40.03,47.63,55.86,60.70,65.57,71.14,75.27
Northern America,84.06,86.41,89.16,91.96,93.78,94.77,95.35,95.60,95.69,95.68,96.02,97.23,97.85,98.54,98.79,98.84
Northern Europe,84.73,86.91,90.43,93.24,95.32,96.95,98.53,99.00,99.14,99.19,99.19,99.53,99.46,99.74,99.84,99.73
Norway,99.34,99.31,99.24,99.21,99.19,99.01,99.06,99.00,98.99,98.84,98.86,99.45,99.36,99.87,130.06,131.54
