country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,33.05,36.05,39.30,42.40,45.85,50.15,52.95,53.25,52.30,51.40,51.00,53.15,56.25,58.60,59.50,60.95
Croatia,60.25,63.60,66.55,68.35,69.60,70.75,69.75,71.45,72.45,73.75,74.80,75.95,77.45,78.15,78.85,80.30
Cuba,60.90,63.05,65.10,67.30,69.65,72.00,73.30,73.95,74.35,75.40,76.75,77.40,77.90,77.75,77.65,80.05
Curaçao,62.10,64.65,66.30,67.50,68.95,70.30,71.25,71.95,72.50,72.85,73.35,73.95,75.35,76.00,76.40,77.65
Cyprus,58.65,62.10,64.10,68.00,66.55,71.35,72.15,73.05,74.20,75.85,77.40,78.80,80.25,81.25,82.10,83.30
Czech Republic,66.35,69.40,70.40,70.10,70.00,70.65,70.70,71.45,72.35,74.05,75.40,76.85,78.05,79.00,79.15,80.95
Democratic People's Republic of Korea,25.75,52.05,54.90,58.20,61.50,64.30,66.80,68.95,70.20,60.55,63.70,68.90,71.35,72.95,73.90,74.90
Democratic Republic of the Congo,38.85,40.20,40.35,42.10,43.85,44.75,45.95,47.35,49.25,50.00,52.55,54.95,57.40,59.50,59.80,61.15
Denmark,70.95,72.10,72.45,72.85,73.65,74.30,74.45,74.75,75.20,76.00,77.20,78.50,80.05,81.05,82.05,83.00
Djibouti,,,,,,,,,,,,,,,63.10,64.75
Dominican Republic,45.40,48.55,51.45,54.00,57.50,60.30,62.75,65.45,68.15,69.25,70.10,71.60,72.75,73.40,74.15,75.65
Eastern Africa,39.35,40.70,43.60,44.65,45.40,46.60,47.05,47.25,46.80,48.85,51.80,55.95,60.15,63.30,63.65,65.15
Eastern Asia,46.10,48.30,47.95,56.20,60.15,64.05,66.90,68.65,70.10,71.85,74.10,75.95,77.30,78.55,79.45,80.25
Eastern Europe,60.40,65.65,68.35,68.60,68.35,68.15,68.05,69.20,68.25,67.95,68.35,70.10,72.40,74.35,73.35,76.40
Ecuador,49.55,51.70,54.35,56.20,58.35,61.60,64.25,67.40,70.15,71.85,73.70,74.95,76.15,77.05,76.20,79.25
Egypt,37.50,43.05,46.85,49.55,50.75,54.15,58.00,62.05,65.05,67.10,68.40,69.20,70.15,71.15,71.30,73.50
El Salvador,43.50,46.30,49.50,50.90,53.15,54.10,51.80,59.40,64.50,67.90,70.00,71.05,71.70,72.15,72.05,74.45
Equatorial Guinea,39.60,40.95,42.25,39.90,38.10,37.00,48.50,50.20,51.10,52.10,54.20,56.55,58.90,61.00,61.30,62.70
Eritrea,,,,,,,,,,,,,,,66.75,68.45
Estonia,66.90,68.05,69.30,69.80,69.85,69.20,69.20,69.95,69.05,70.20,71.85,73.85,76.40,77.85,78.45,79.60
Ethiopia,37.00,36.25,41.45,42.25,41.65,41.65,40.35,42.15,46.65,49.25,51.80,56.45,61.55,65.00,65.40,66.80
Europe,63.85,67.15,69.05,69.75,70.20,70.70,71.30,72.45,72.50,73.05,73.90,75.45,77.25,78.60,78.50,80.80
Fiji,50.85,55.30,59.10,61.70,62.00,62.65,63.35,65.20,66.05,66.70,66.35,67.00,67.55,67.65,68.70,70.15
