country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Brazil,0.14,0.24,0.38,0.58,0.82,1.13,1.55,2.09,2.76,3.59,4.55,5.59,6.70,7.95,10.38,12.28,14.14,16.36,19.66,24.13,30.72,38.11,44.59,49.14,52.19,56.87,63.77,69.77,73.97,78.99
Bulgaria,0.16,0.26,0.49,0.90,1.58,2.68,4.38,6.80,9.95,14.50,20.34,27.08,34.47,42.23,50.49,59.32,68.58,77.24,84.44,90.13,93.97,95.27,95.67,96.10,96.13,95.86,94.25,93.94,92.87,93.19
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.04,0.06,0.11,0.20,0.38,0.61,1.06,1.79,2.75,3.71,4.99,6.63,8.33,10.39,10.83,8.86,7.21,10.32
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.05,0.08,0.13,0.19,0.29,0.45,0.67,0.99,1.44,2.25,2.85,3.56,5.00,6.28,9.05,10.87,12.42,14.18
Cambodia,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.09,0.14,0.24,0.40,0.62,0.97,1.46,2.21,3.36,3.63,5.44,7.32,9.03,10.12,9.42,9.47,24.17,35.10,36.34,30.61,33.28,38.62
Cameroon,0.00,0.00,0.01,0.01,0.02,0.04,0.06,0.09,0.16,0.23,0.35,0.50,0.74,1.04,1.46,2.04,2.90,3.66,5.80,8.29,11.97,15.58,21.09,23.15,28.74,31.13,36.40,38.34,46.07,52.93
Canada,3.77,5.99,9.16,13.77,20.23,28.55,38.75,49.61,60.12,68.98,75.65,80.11,82.76,84.15,84.85,85.07,85.06,74.54,79.68,85.69,90.57,93.14,94.33,95.27,96.08,96.87,97.07,98.15,99.06,99.15
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.06,0.12,0.21,0.37,0.68,1.23,2.13,3.73,7.73,11.68,12.72,14.01,15.00,16.16,24.57,30.64,46.90,57.54,64.89
Caribbean,0.25,1.21,1.41,1.67,1.96,2.25,2.64,3.13,3.77,4.38,5.31,6.47,7.82,9.70,12.25,14.41,18.91,23.93,30.02,38.03,45.67,52.39,57.94,65.77,69.57,70.78,71.68,73.04,74.43,76.28
Central African Republic,0.17,0.10,0.18,0.29,0.43,0.55,0.70,0.88,1.09,1.35,1.65,1.99,2.41,2.88,3.42,3.96,4.64,5.36,6.12,6.93,7.76,8.64,9.81,10.40,10.34,12.14,14.18,13.40,14.47,15.50
Central America,0.27,0.17,0.13,0.15,0.20,0.24,0.30,0.36,0.43,0.55,0.67,0.84,1.16,1.73,2.65,4.02,6.21,9.33,13.69,19.32,25.95,32.50,41.00,49.60,56.27,60.74,63.20,67.75,72.67,76.40
Central Asia,0.54,0.98,1.77,3.08,5.21,7.39,10.40,13.53,17.04,20.35,22.71,26.22,31.42,36.34,35.05,46.90,53.83,61.28,75.36,85.26,94.01,97.11,98.11,98.52,98.56,98.51,98.42,98.53,98.03,98.25
Chad,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.04,0.08,0.11,0.16,0.25,0.39,0.60,0.91,1.39,2.03,2.89,3.83,5.09,6.59,7.18,9.32,11.69,14.89,18.17,21.35
Chile,0.96,1.42,2.10,3.01,4.20,5.65,7.41,9.53,11.97,14.62,17.23,19.66,21.57,22.86,21.62,22.78,24.49,27.35,31.26,37.58,46.75,61.17,73.78,79.70,84.45,88.79,91.88,94.33,95.58,96.60
China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.09,0.25,0.61,1.40,2.91,5.59,9.95,17.18,23.84,31.49,36.46,47.09,62.09,72.83,75.10,80.28,86.10,89.82,92.66,94.62
