country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.47,0.81,1.40,2.09,3.43,5.11,6.92,7.13,6.97,8.54,9.60,12.10,17.31,17.48,21.85,26.71
Croatia,38.83,47.88,53.18,65.30,72.12,73.83,76.98,79.45,80.80,81.72,85.40,89.71,94.45,93.78,102.21,102.81
Cuba,9.31,13.63,21.29,30.56,38.99,45.64,50.85,54.00,54.26,54.22,55.58,62.72,73.39,74.51,78.92,82.23
Curaçao,10.41,12.17,16.06,19.20,20.59,23.26,23.43,24.70,26.96,28.53,31.48,33.33,40.09,36.84,41.05,45.81
Cyprus,16.20,25.13,36.24,46.07,53.22,61.87,70.92,78.82,82.41,84.37,84.71,87.48,90.38,91.66,93.51,93.41
Czech Republic,56.81,63.49,69.22,77.34,81.19,81.46,84.99,86.41,87.17,87.26,86.66,87.23,89.83,88.32,99.91,101.09
Democratic People's Republic of Korea,35.88,77.64,85.00,95.80,99.53,99.86,99.89,99.89,99.90,99.90,99.93,99.88,99.96,99.96,99.96,99.94
Democratic Republic of the Congo,3.33,4.62,6.58,7.78,10.86,14.10,18.29,20.78,23.09,21.84,21.78,24.97,38.86,30.80,31.63,35.60
Denmark,31.09,38.18,43.60,49.68,54.80,57.40,56.34,57.84,59.43,61.15,62.00,62.43,68.66,63.16,71.22,74.39
Djibouti,,,,,,,,,,,,,,,19.87,23.42
Dominican Republic,4.93,6.19,7.79,10.12,13.84,18.60,22.16,24.03,22.90,24.01,29.36,34.46,40.13,44.60,50.89,55.76
Eastern Africa,2.14,2.71,3.42,4.42,5.86,7.56,9.33,11.89,13.25,13.16,14.32,16.91,16.90,17.05,19.06,22.11
Eastern Asia,11.75,15.19,19.05,21.84,22.77,24.01,32.59,34.02,30.40,34.07,40.45,46.50,51.42,60.61,69.01,75.02
Eastern Europe,33.90,30.85,45.48,58.89,71.62,77.19,81.93,84.34,84.08,83.21,82.68,84.77,86.98,87.77,88.97,89.52
Ecuador,5.12,6.82,9.07,12.85,18.08,23.80,29.26,33.39,35.12,36.35,38.60,42.62,47.29,50.53,53.69,56.57
Egypt,10.64,13.34,16.81,21.04,26.66,32.65,39.43,45.92,51.50,55.66,61.02,66.12,69.81,75.65,98.57,106.36
El Salvador,3.90,5.08,6.89,9.20,12.15,15.46,18.00,20.83,22.75,24.63,27.54,32.72,31.90,36.03,40.19,44.21
Equatorial Guinea,0.36,0.80,1.64,3.75,7.30,6.75,6.44,7.96,9.64,10.18,7.08,7.21,10.30,12.30,14.57,18.18
Eritrea,,,,,,,,,,,,,,,19.87,23.43
Estonia,19.27,28.46,37.30,44.69,54.27,65.40,75.42,80.97,81.40,75.77,68.81,70.94,77.93,74.97,92.71,95.71
Ethiopia,0.55,0.74,0.83,1.10,1.74,2.47,3.26,3.87,4.48,5.21,5.86,8.79,6.96,7.79,9.62,12.03
Europe,31.81,33.33,44.17,53.08,61.42,67.61,71.37,72.50,73.00,74.54,76.05,78.94,82.60,81.94,83.60,85.03
Fiji,5.73,7.21,8.85,8.45,12.17,17.43,19.67,22.56,28.07,38.29,44.96,56.63,57.69,63.11,67.73,71.47
Finland,10.57,20.88,39.68,50.68,58.03,65.55,75.62,77.86,79.26,79.83,81.48,82.04,87.52,82.85,85.98,87.65
France,24.75,32.18,41.82,51.72,59.54,64.32,68.29,72.25,76.34,79.36,81.73,83.08,85.28,85.45,117.17,119.47
French Guiana,17.88,22.80,27.72,31.48,34.84,37.73,38.90,40.75,41.20,39.65,42.01,42.49,41.27,47.70,52.24,56.12
French Polynesia,10.43,15.57,20.58,28.25,35.44,38.51,42.01,45.16,47.59,51.74,59.15,65.31,69.96,74.82,78.34,80.90
Gabon,0.38,1.16,2.72,4.77,8.18,10.57,11.29,10.75,11.65,14.18,14.74,14.71,19.85,13.82,15.51,18.91
Gambia,0.02,0.15,0.88,3.71,5.26,7.16,9.24,11.48,13.17,15.18,19.31,22.38,34.39,26.63,28.85,33.33
Georgia,56.82,70.53,78.98,85.86,91.71,92.92,93.73,94.38,94.41,93.89,91.49,92.08,93.10,93.08,119.11,120.10
Germany,61.10,65.07,69.38,73.28,73.62,75.18,74.83,74.62,74.98,73.95,73.64,74.55,86.22,75.91,90.61,93.03
Ghana,6.52,8.26,9.47,12.99,14.75,17.02,15.76,14.35,15.17,19.37,23.36,25.61,27.12,28.16,33.10,37.50
Greece,18.97,23.92,27.14,34.04,41.98,51.53,59.89,66.31,68.31,70.92,73.87,78.27,83.35,85.19,110.12,112.09
Grenada,,,,,,,,,,,,,,,76.46,77.45
Guadeloupe,9.44,14.43,20.47,24.09,29.95,36.68,42.85,47.72,52.53,55.14,58.58,68.36,63.35,66.44,69.24,71.22
Guam,,,,,,,,,,,,,,,67.73,70.78
Guatemala,2.90,3.59,4.34,5.27,6.99,8.72,10.49,11.90,12.68,14.06,15.92,18.21,20.75,27.79,25.18,28.05
Guinea,0.44,0.75,1.45,2.62,4.77,8.00,7.95,5.27,5.48,6.01,8.89,11.88,22.45,18.97,19.07,22.60
Guinea-Bissau,0.45,0.96,1.82,3.16,5.08,7.15,10.57,13.63,12.90,13.28,15.22,15.83,22.21,16.09,12.98,15.28
Guyana,12.39,15.48,18.07,23.24,29.34,32.60,33.79,35.14,36.03,41.52,44.68,48.63,54.70,59.61,63.87,67.52
Haiti,2.51,2.99,3.37,3.70,4.82,5.60,7.10,9.51,12.25,14.10,22.52,16.22,15.98,19.36,23.63,27.67
Honduras,2.17,3.12,4.35,5.79,7.40,9.11,10.88,12.51,12.91,12.92,13.66,16.49,22.27,22.66,25.74,29.89
Hong Kong Special Administrative Region of China,11.99,17.66,25.67,27.77,30.72,34.69,43.66,56.51,63.22,67.58,74.89,81.18,88.52,89.56,129.59,130.34
Hungary,19.93,20.45,21.74,49.13,69.48,72.45,74.54,77.01,77.60,77.44,79.42,81.26,84.75,84.33,113.64,116.09
Iceland,42.92,46.02,50.77,54.07,57.60,58.25,57.93,56.40,54.56,54.05,54.05,54.11,57.80,54.27,64.01,68.04
India,9.69,12.40,16.55,19.46,23.05,27.08,28.97,30.77,33.49,36.25,39.33,44.44,47.63,53.76,61.49,68.15
Indonesia,3.17,5.35,8.97,12.36,15.80,18.66,21.78,28.97,36.16,37.39,39.35,45.71,51.57,57.71,74.17,81.06
