country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.41,0.73,1.49,1.82,4.82,10.24,14.38,19.44,25.86,26.93,25.80,29.68,32.50,37.58,42.39,47.09
Croatia,79.62,78.63,87.71,94.48,97.71,98.63,98.90,99.22,99.42,99.47,99.47,99.50,99.48,99.55,113.64,114.69
Cuba,53.34,58.96,66.76,74.19,83.40,89.86,93.25,96.73,97.75,97.96,98.42,98.73,99.01,99.13,99.25,99.32
Curaçao,73.38,78.99,83.08,89.18,92.06,94.75,95.88,96.64,97.92,98.71,99.24,99.15,99.69,98.78,99.48,98.02
Cyprus,51.50,58.82,71.09,82.74,92.52,97.63,98.86,99.17,99.23,99.23,99.31,99.49,99.58,99.74,99.97,99.64
Czech Republic,98.90,99.02,99.32,99.49,99.53,99.41,99.43,99.54,99.58,99.63,99.59,99.62,99.59,99.69,117.46,118.59
Democratic People's Republic of Korea,82.47,94.84,97.37,99.33,99.89,99.97,99.99,99.98,99.98,99.98,99.99,99.99,99.97,99.98,99.98,99.97
Democratic Republic of the Congo,1.65,2.90,5.48,6.92,14.05,22.15,28.01,35.56,41.89,51.88,52.95,58.16,54.89,66.38,67.81,70.58
Denmark,99.81,99.81,99.81,99.81,99.77,99.74,99.71,99.71,99.68,99.71,99.77,99.96,99.98,100.00,108.76,109.91
Djibouti,,,,,,,,,,,,,,,34.22,40.67
Dominican Republic,17.27,19.17,22.54,28.94,36.05,45.00,55.57,65.27,71.86,75.62,79.22,83.37,87.72,89.54,92.40,93.92
Eastern Africa,4.02,5.01,6.33,8.26,11.39,15.71,21.05,27.18,33.19,38.17,41.79,45.75,48.30,51.17,54.91,59.85
Eastern Asia,30.19,46.35,57.18,67.75,72.96,76.37,83.21,89.61,91.63,92.88,93.68,95.64,97.78,98.03,98.82,99.18
Eastern Europe,93.05,96.15,98.12,99.07,99.54,99.66,99.67,99.67,99.65,99.65,99.56,99.57,99.58,99.61,99.68,99.58
Ecuador,29.93,32.15,36.09,41.95,49.77,58.45,66.24,73.32,78.43,81.64,83.77,86.12,88.20,89.95,91.41,92.62
Egypt,5.07,6.88,9.31,11.80,16.47,21.62,27.57,33.14,41.39,50.62,58.16,65.59,72.18,77.54,108.54,116.36
El Salvador,11.76,14.41,18.32,22.83,27.98,34.17,40.95,47.62,53.51,58.79,65.42,70.25,76.05,80.61,84.16,86.97
Equatorial Guinea,0.88,2.48,6.20,16.89,22.05,38.24,44.67,46.37,52.54,59.00,73.34,63.15,75.05,78.64,81.78,84.12
