country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.25,0.44,0.75,1.12,1.84,2.82,3.92,4.14,4.91,6.41,7.31,9.51,13.13,14.63,18.35,22.46
Croatia,27.84,34.14,39.16,52.73,63.21,67.10,72.26,76.94,79.47,81.91,86.56,91.03,95.35,94.89,106.20,106.88
Cuba,8.36,12.02,18.20,25.72,34.13,41.67,48.75,54.28,56.59,58.72,60.57,67.50,77.60,78.19,82.00,84.77
Curaçao,7.90,10.09,13.51,15.98,17.85,22.12,23.28,24.98,28.55,31.69,35.58,38.67,48.26,43.54,46.76,50.94
Cyprus,12.45,19.09,28.48,39.37,48.13,58.02,68.94,77.36,81.39,83.47,85.24,88.50,91.68,93.03,94.86,94.62
Czech Republic,50.68,55.19,62.32,70.55,77.05,76.87,81.75,85.82,87.85,88.45,88.01,88.74,91.28,90.00,105.04,106.39
Democratic People's Republic of Korea,30.82,69.99,76.63,91.60,98.93,99.82,99.88,99.89,99.89,99.89,99.92,99.88,99.96,99.96,99.96,99.94
Democratic Republic of the Congo,1.57,2.22,3.26,3.94,6.24,8.31,10.60,13.33,15.21,15.79,16.47,19.54,28.09,25.71,27.40,30.99
Denmark,27.01,33.43,39.79,47.01,54.30,56.75,57.40,61.07,63.53,65.28,66.24,67.08,72.89,68.20,77.76,80.92
Djibouti,,,,,,,,,,,,,,,18.90,22.62
Dominican Republic,4.86,5.89,7.17,9.26,12.95,18.14,22.84,26.28,27.12,29.26,34.93,41.24,47.38,52.79,59.04,63.66
Eastern Africa,1.48,1.87,2.36,3.09,4.05,5.30,6.72,8.89,10.59,11.01,12.39,14.90,15.55,16.12,18.49,21.80
Eastern Asia,10.52,13.09,16.44,19.60,20.54,21.04,29.13,30.84,27.99,32.09,38.99,45.38,50.63,60.37,69.19,75.35
Eastern Europe,30.90,27.84,44.11,58.02,72.17,78.38,83.37,86.06,85.77,85.37,85.10,87.02,88.93,89.62,90.62,90.99
Ecuador,5.17,6.61,8.81,12.21,17.31,23.34,29.14,34.00,36.41,37.91,40.33,44.90,49.36,53.50,57.24,60.44
Egypt,6.77,8.79,11.44,14.62,19.43,24.66,30.88,36.80,43.18,48.98,55.13,61.67,66.34,73.03,98.69,107.10
El Salvador,3.25,4.38,5.86,7.76,10.14,13.04,15.98,19.36,22.04,24.42,27.93,33.10,33.17,37.85,42.44,46.71
Equatorial Guinea,0.18,0.41,0.87,2.02,3.96,3.68,3.98,4.44,5.56,6.16,4.83,5.16,7.49,9.01,11.01,14.10
Eritrea,,,,,,,,,,,,,,,18.90,22.55
Estonia,23.10,33.86,45.32,54.82,63.44,72.42,80.19,84.36,84.50,80.34,75.02,76.93,83.25,80.14,104.60,107.02
Ethiopia,0.30,0.43,0.49,0.66,1.04,1.53,2.12,2.68,3.24,3.93,4.78,7.17,6.45,7.82,10.31,13.51
Europe,27.17,28.51,40.37,49.58,59.17,66.48,71.15,73.16,74.16,76.41,78.40,81.27,84.76,84.21,85.75,87.01
Fiji,5.56,6.80,7.58,7.87,10.89,15.50,17.91,20.81,26.62,38.92,46.94,59.86,62.04,67.86,72.63,76.17
Finland,10.19,20.20,39.28,50.55,59.17,67.33,77.65,80.70,82.00,82.05,83.58,84.11,89.29,84.90,90.82,92.51
France,22.32,27.97,36.69,46.92,55.50,60.74,65.78,71.14,76.55,80.11,82.90,84.62,87.10,87.43,123.57,125.86
French Guiana,13.79,18.55,23.35,27.98,31.28,34.63,36.98,38.78,39.57,37.92,39.82,42.12,39.30,44.09,48.32,52.34
French Polynesia,8.44,13.04,16.83,24.11,32.96,38.42,43.31,47.78,51.74,56.71,64.94,71.95,76.40,80.98,84.12,86.37
Gabon,0.22,0.65,1.56,2.80,4.81,7.41,8.47,7.55,8.67,10.40,11.14,12.09,19.56,13.66,15.29,18.35
Gambia,0.01,0.08,0.52,2.42,3.44,4.32,5.38,7.20,8.88,10.35,14.75,18.86,28.76,26.09,29.04,33.56
Georgia,57.57,70.40,78.82,85.27,90.71,92.48,93.67,94.51,94.68,94.34,92.18,92.81,93.86,93.79,125.08,126.01
Germany,42.93,51.37,60.26,67.32,69.33,72.25,73.67,74.03,74.85,73.99,74.25,75.69,86.88,77.67,96.12,98.72
Ghana,4.16,5.23,6.00,8.79,10.60,12.99,12.31,11.14,11.24,14.56,18.83,21.95,24.82,27.26,32.09,36.71
Greece,15.52,19.89,22.16,28.89,36.68,47.72,56.55,64.48,70.19,74.44,77.81,81.62,86.07,87.50,117.17,119.03
Grenada,,,,,,,,,,,,,,,72.14,74.39
Guadeloupe,8.33,13.32,19.53,22.87,29.79,36.73,43.14,49.79,55.14,58.80,63.02,72.82,68.73,71.89,74.63,76.06
Guam,,,,,,,,,,,,,,,72.55,75.28
Guatemala,2.98,3.51,4.05,4.76,6.19,7.63,9.33,10.73,11.53,12.98,15.08,17.62,20.49,27.46,25.45,28.63
Guinea,0.23,0.45,0.84,1.53,2.77,4.79,5.12,3.48,3.44,3.74,5.53,7.86,15.62,14.33,15.60,19.14
Guinea-Bissau,0.22,0.46,0.82,1.44,2.55,4.02,5.59,7.57,7.97,8.95,10.76,11.94,16.82,12.59,12.17,14.17
