country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Brazil,0.36,0.51,0.69,0.94,1.23,1.58,2.01,2.51,3.14,3.92,4.80,5.75,6.77,7.93,9.86,11.65,13.90,16.40,19.97,24.43,30.63,37.48,43.34,47.07,49.18,53.38,60.25,65.79,69.88,74.66
Bulgaria,0.28,0.55,1.06,1.91,3.21,5.13,7.80,11.35,15.86,21.32,27.63,34.65,42.17,49.88,57.85,65.89,73.95,81.13,87.18,92.18,95.19,96.20,96.38,96.63,96.63,96.27,94.66,94.40,93.48,93.75
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.09,0.18,0.31,0.62,1.03,1.77,2.90,4.33,5.75,7.50,9.59,11.89,14.50,14.39,11.07,8.54,11.60
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.07,0.11,0.16,0.26,0.39,0.60,0.87,1.27,1.83,2.53,3.18,4.31,5.41,7.26,8.23,11.60,13.29,16.13,15.43
Cambodia,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.07,0.12,0.21,0.37,0.61,0.98,1.54,2.35,3.54,5.54,5.79,8.72,11.02,12.77,13.77,12.37,12.37,33.01,46.05,45.79,37.90,38.44,42.67
Cameroon,0.00,0.01,0.01,0.02,0.03,0.04,0.07,0.12,0.18,0.28,0.41,0.61,0.91,1.33,1.93,2.78,4.09,5.17,9.04,12.99,18.03,22.59,28.72,30.96,36.24,37.41,42.30,43.17,50.18,56.70
Canada,1.92,3.28,5.56,9.20,14.77,22.65,32.74,44.17,55.48,65.32,72.94,78.19,81.41,83.20,84.20,84.72,85.03,69.77,76.46,84.16,89.94,92.64,94.01,94.89,95.73,96.52,96.67,97.74,98.80,98.87
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.11,0.17,0.34,0.61,1.10,1.96,3.45,5.91,11.50,16.63,17.92,18.55,18.74,18.97,26.86,29.86,45.25,55.69,63.08
Caribbean,0.34,1.38,1.68,2.05,2.43,2.78,3.20,3.74,4.39,5.06,6.00,7.21,8.69,10.74,13.43,15.68,20.66,26.50,33.15,41.25,47.98,53.98,58.56,65.70,68.79,69.34,70.25,71.39,72.78,74.55
Central African Republic,0.37,0.47,0.61,0.78,0.99,1.24,1.53,1.89,2.30,2.77,3.33,3.99,4.73,5.61,6.58,7.62,8.81,10.04,11.28,12.47,13.56,14.48,15.22,16.37,16.66,18.48,21.56,19.02,19.58,19.10
Central America,0.31,0.16,0.14,0.15,0.18,0.24,0.30,0.37,0.45,0.57,0.68,0.85,1.15,1.68,2.54,3.96,6.15,9.54,14.35,20.58,27.99,35.26,43.81,51.91,57.32,60.73,62.62,67.08,71.47,74.95
Central Asia,0.42,0.97,1.98,3.72,6.59,9.51,13.22,16.91,20.94,24.41,26.72,29.85,35.59,40.57,39.24,51.87,57.46,65.22,78.48,87.64,94.97,97.31,98.05,98.39,98.42,98.34,98.24,98.30,97.78,98.03
Chad,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.05,0.08,0.15,0.24,0.40,0.62,0.98,1.52,2.32,3.43,4.92,6.54,8.62,11.27,12.58,15.50,18.87,22.98,27.39,29.67
Chile,0.95,1.43,2.11,3.05,4.25,5.71,7.53,9.74,12.31,15.16,18.02,20.67,22.71,24.04,22.81,22.89,24.29,27.64,31.90,38.79,48.73,63.15,74.80,80.42,84.94,88.87,91.82,94.09,95.10,96.04
China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.07,0.19,0.50,1.20,2.64,5.26,9.40,15.39,24.49,31.40,39.74,45.29,57.03,71.37,80.07,80.57,84.19,88.54,91.18,93.34,94.85
Colombia,0.67,0.86,1.07,1.33,1.63,1.96,2.34,2.76,3.23,3.77,4.39,5.14,6.04,7.09,8.44,10.15,12.23,11.94,15.34,20.67,26.02,32.36,37.97,41.01,43.60,48.81,56.78,62.40,69.81,76.50
Comoros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.07,0.12,0.20,0.33,0.59,1.07,2.02,5.62,6.37,9.63,17.18,26.86,31.63,35.31,34.76,37.83,42.09,45.16,49.67
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.12,0.38,1.18,3.17,7.84,13.92,26.69,43.39,54.77,55.13,52.74,51.75,47.73,47.60,46.00,47.27
Costa Rica,0.27,0.37,0.50,0.69,0.90,1.17,1.50,1.89,2.36,2.97,3.73,4.71,5.86,7.28,9.15,11.56,14.67,17.83,22.35,27.75,33.76,38.62,43.11,45.04,42.75,44.68,49.02,54.10,59.03,63.23
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.07,0.11,0.17,0.29,0.46,0.79,1.29,2.10,3.42,5.45,8.21,12.05,15.56,20.47,22.83,22.36,25.24,24.85,29.94,34.53,39.83
Croatia,19.98,23.98,28.32,32.75,37.03,41.04,44.79,48.31,51.61,54.66,57.32,59.58,61.35,62.77,64.03,65.48,65.53,70.61,76.39,86.40,92.43,94.50,96.33,98.11,98.77,98.86,98.71,99.23,99.07,99.50
Cuba,2.50,2.91,3.36,3.81,4.22,4.61,4.98,5.38,5.82,6.36,7.15,8.16,9.49,11.44,14.44,15.24,23.15,33.37,46.72,60.57,70.87,78.06,83.77,87.87,88.89,89.48,89.94,92.67,95.49,96.13
Curaçao,0.07,0.14,0.25,0.48,0.85,1.46,2.38,3.72,5.60,8.13,11.37,15.38,20.09,25.52,31.62,38.30,43.68,52.56,56.92,66.03,72.35,78.77,81.90,83.60,85.86,87.00,87.83,88.31,90.86,88.96
Cyprus,1.59,2.04,2.57,3.22,3.94,4.72,5.53,6.44,7.41,8.51,9.64,10.80,11.98,13.31,15.79,17.28,22.41,33.21,46.13,57.18,64.32,72.71,81.45,89.29,92.08,93.87,94.39,95.36,96.28,96.80
Czech Republic,93.83,94.59,95.23,95.69,96.02,96.27,96.51,96.75,96.98,97.20,97.41,97.61,97.83,98.00,98.19,98.38,98.58,98.80,98.96,99.14,99.21,98.99,99.05,99.18,99.24,99.29,99.19,99.24,99.12,99.35
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.31,1.29,4.50,12.20,25.54,43.19,35.92,77.72,85.08,95.88,99.61,99.94,99.97,99.97,99.97,99.98,99.98,99.96,99.97,99.97
Democratic Republic of the Congo,0.02,0.03,0.05,0.09,0.16,0.25,0.40,0.64,0.99,1.53,2.31,3.41,4.93,6.94,9.54,12.80,16.81,21.51,28.18,31.68,39.97,47.98,56.75,61.84,65.54,62.76,60.56,64.74,69.76,70.54
Denmark,99.94,99.95,99.94,99.95,99.95,99.94,99.94,99.95,99.94,99.95,99.94,99.94,99.94,99.94,99.94,99.94,99.93,99.94,99.89,99.79,99.72,99.57,99.34,99.40,99.43,99.51,99.64,99.84,99.95,99.97
Dominican Republic,0.07,0.17,0.36,0.66,1.13,1.76,2.54,3.42,4.38,5.26,5.98,6.63,7.31,8.19,9.40,11.46,12.60,15.60,19.13,23.53,29.93,38.10,45.29,51.40,52.66,53.39,59.06,64.08,70.32,72.80
Eastern Africa,0.03,0.16,0.25,0.40,0.49,0.68,0.82,0.91,1.06,1.18,1.46,1.66,2.01,2.52,3.22,4.10,5.11,6.28,8.19,10.77,13.37,15.86,19.08,22.92,25.82,26.79,28.47,30.95,32.39,33.39
Eastern Asia,0.01,0.00,0.00,0.00,0.02,0.03,0.09,0.25,0.74,2.05,5.06,8.81,11.63,13.94,16.05,20.53,27.61,34.04,40.70,49.29,54.35,62.25,74.96,82.56,82.88,86.19,90.15,92.25,93.91,95.40
Eastern Europe,3.47,2.12,5.29,7.81,9.86,10.35,10.85,11.19,12.38,13.97,17.88,21.33,24.60,29.73,39.14,54.02,66.31,62.29,76.84,88.76,95.59,97.66,98.37,98.76,98.76,98.64,98.19,98.38,97.92,98.55
Ecuador,0.36,0.49,0.65,0.86,1.12,1.39,1.71,2.11,2.58,3.14,3.80,4.64,5.64,6.73,7.60,8.49,9.70,11.84,14.87,19.70,26.22,34.00,42.02,48.44,51.72,53.37,55.32,60.18,65.42,69.21
Egypt,0.11,0.17,0.24,0.34,0.48,0.68,0.94,1.28,1.74,2.36,3.12,4.08,5.24,6.63,8.25,10.17,12.65,15.90,19.95,24.48,30.61,37.11,44.34,51.12,57.31,62.00,66.79,71.53,75.32,79.01
El Salvador,0.03,0.04,0.07,0.11,0.17,0.25,0.37,0.53,0.76,1.07,1.48,1.96,2.58,3.36,4.44,5.51,7.25,9.47,12.75,16.76,21.85,28.22,34.88,40.62,44.75,48.56,53.04,57.63,60.60,64.98
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.08,0.23,0.57,1.32,2.77,5.30,9.21,14.70,19.04,31.69,34.79,40.20,40.45,41.91,42.74,36.23,32.82,41.97,45.27
