country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Brazil,0.08,0.13,0.21,0.33,0.51,0.78,1.16,1.67,2.37,3.25,4.30,5.42,6.62,7.97,10.92,12.92,14.37,16.32,19.37,23.82,30.82,38.73,45.84,51.22,55.20,60.36,67.30,73.79,78.16,83.43
Bulgaria,0.01,0.02,0.06,0.14,0.32,0.71,1.49,2.89,5.21,8.70,13.49,19.54,26.61,34.45,43.17,52.78,63.13,73.36,81.75,88.10,92.78,94.33,94.95,95.52,95.61,95.44,93.83,93.47,92.23,92.60
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.05,0.08,0.13,0.18,0.34,0.63,1.18,1.75,2.55,3.69,4.81,6.36,7.27,6.60,5.87,9.03
Burundi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.09,0.19,0.41,1.34,1.41,1.74,2.77,4.35,6.50,8.48,8.76,12.93
Cambodia,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.07,0.12,0.18,0.27,0.39,0.58,0.87,1.15,1.45,2.12,3.59,5.31,6.76,6.95,6.77,15.49,23.57,26.57,23.15,28.02,34.65
Cameroon,0.00,0.00,0.01,0.01,0.02,0.03,0.05,0.08,0.12,0.18,0.29,0.40,0.56,0.76,1.01,1.33,1.75,2.18,2.68,3.86,6.19,8.73,13.52,15.37,21.21,24.86,30.50,33.51,41.95,49.18
Canada,4.79,7.49,11.53,17.29,24.99,34.49,45.10,55.72,65.23,72.92,78.53,82.18,84.18,85.11,85.47,85.40,85.09,79.37,82.88,87.21,91.21,93.63,94.67,95.65,96.44,97.24,97.49,98.59,99.34,99.43
Cape Verde,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.05,0.10,0.19,0.33,0.59,1.02,1.87,4.29,6.86,7.85,10.11,11.59,13.44,22.24,31.41,48.67,59.55,66.75
Caribbean,0.20,1.13,1.24,1.41,1.59,1.80,2.11,2.55,3.12,3.65,4.54,5.67,6.92,8.66,11.07,13.20,17.23,21.41,26.95,34.81,43.39,50.81,57.34,65.85,70.37,72.23,73.13,74.72,76.11,78.04
Central African Republic,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.12,0.17,0.25,0.36,0.52,0.75,1.06,1.49,2.07,2.78,4.53,4.92,4.61,5.92,6.64,7.65,9.30,11.79
Central America,0.24,0.17,0.13,0.15,0.22,0.27,0.29,0.35,0.42,0.53,0.66,0.84,1.19,1.76,2.76,4.09,6.25,9.14,13.00,18.06,23.83,29.72,38.31,47.39,55.30,60.76,63.74,68.38,73.85,77.82
Central Asia,0.57,0.98,1.66,2.65,4.10,5.66,7.83,10.11,12.92,16.07,19.13,23.53,28.04,33.21,31.92,43.19,50.21,57.32,72.30,82.83,93.04,96.89,98.16,98.64,98.70,98.69,98.60,98.77,98.27,98.49
Chad,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,0.04,0.05,0.06,0.08,0.12,0.17,0.23,0.31,0.44,0.61,0.84,1.14,1.58,1.94,1.82,3.15,4.50,6.77,8.87,12.89
Chile,0.95,1.42,2.08,2.98,4.16,5.58,7.31,9.34,11.63,14.06,16.44,18.63,20.40,21.66,20.43,22.67,24.70,27.04,30.59,36.32,44.73,59.15,72.74,78.97,83.94,88.70,91.93,94.57,96.07,97.16
China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.45,1.50,3.97,9.02,15.21,22.24,26.95,36.80,52.40,65.27,69.40,76.17,83.53,88.36,91.94,94.37
Colombia,0.68,0.84,1.02,1.22,1.44,1.69,1.95,2.26,2.60,3.00,3.44,3.97,4.61,5.47,6.66,8.26,10.23,10.82,13.32,18.01,24.18,31.15,38.46,43.96,48.07,53.80,61.68,67.96,74.78,80.30
Comoros,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.05,0.07,0.11,0.16,0.30,0.53,0.98,0.89,3.23,8.13,13.51,16.70,19.13,26.25,35.39,45.81,52.51
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.08,0.17,0.33,0.65,1.25,2.29,4.09,6.15,10.37,14.10,21.39,25.93,24.43,28.39,30.48,32.63,34.31,36.96
Costa Rica,1.04,1.27,1.54,1.83,2.14,2.45,2.77,3.14,3.51,3.99,4.58,5.37,6.27,7.46,9.25,11.63,14.54,17.32,20.50,24.85,30.51,37.11,43.50,46.73,44.23,45.22,51.63,59.37,66.64,72.70
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.06,0.10,0.17,0.29,0.58,0.69,1.74,3.34,4.51,5.97,8.36,9.93,11.36,14.91,16.75,23.49
Croatia,18.27,20.80,23.46,26.21,28.99,31.74,34.38,36.89,39.17,41.18,42.85,44.15,45.04,45.50,45.47,46.33,46.63,48.15,54.82,71.33,86.38,91.17,94.23,97.55,98.74,99.02,99.01,99.37,99.13,99.54
Cuba,1.67,2.06,2.50,2.94,3.34,3.72,4.07,4.47,4.88,5.42,6.31,7.30,8.37,9.81,11.92,12.27,17.44,24.27,33.79,46.09,60.47,70.37,78.64,86.81,90.27,92.21,93.19,95.25,97.20,97.62
Curaçao,0.04,0.09,0.17,0.33,0.62,1.07,1.81,2.93,4.57,6.85,9.85,13.62,18.12,23.34,29.35,36.03,42.12,49.54,55.22,68.02,74.44,81.90,85.24,86.80,88.70,89.69,91.08,90.79,91.81,90.03
Cyprus,2.21,2.52,2.86,3.20,3.54,3.88,4.21,4.61,5.06,5.61,6.19,6.76,7.35,8.09,9.51,10.50,12.96,18.15,26.91,41.41,53.13,64.61,77.71,87.35,91.57,93.02,94.57,96.16,97.43,98.12
Czech Republic,66.90,71.87,76.32,80.21,83.53,86.35,88.72,90.68,92.30,93.63,94.73,95.61,96.34,96.92,97.42,97.79,97.74,98.07,98.75,99.10,99.24,99.08,99.10,99.31,99.40,99.47,99.43,99.56,99.41,99.68
Democratic People's Republic of Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.14,0.47,1.48,4.32,10.84,22.16,36.64,26.90,64.68,69.25,87.68,98.44,99.86,99.96,99.96,99.96,99.96,99.97,99.98,99.96,99.97
Democratic Republic of the Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.10,0.22,0.49,1.05,2.34,3.41,7.73,13.19,17.62,23.17,27.88,34.94,35.87,40.56,37.20,48.82
Denmark,99.79,99.79,99.80,99.79,99.80,99.80,99.80,99.80,99.81,99.80,99.80,99.80,99.80,99.80,99.79,99.79,99.80,99.80,99.72,99.51,99.39,99.22,98.96,98.90,98.82,98.97,99.13,99.77,99.96,99.98
Dominican Republic,0.03,0.05,0.09,0.16,0.28,0.47,0.78,1.24,1.91,2.75,3.63,4.57,5.57,6.79,9.32,11.40,11.96,13.39,15.62,19.91,25.75,34.44,44.26,53.68,59.60,63.24,68.80,74.84,80.27,84.11
Eastern Africa,0.01,0.02,0.04,0.05,0.07,0.10,0.12,0.15,0.21,0.28,0.38,0.50,0.65,0.87,1.19,1.55,1.91,2.36,3.03,3.94,5.13,6.84,9.21,12.37,16.05,18.94,21.43,24.55,27.25,29.88
Eastern Asia,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.11,0.36,1.07,3.09,6.40,9.67,12.49,13.20,15.62,18.46,21.71,27.17,34.91,39.14,44.39,58.47,69.72,73.04,79.26,85.90,89.82,92.69,95.01
Eastern Europe,1.72,0.95,2.72,4.41,5.92,6.41,7.21,7.84,8.98,10.38,12.58,13.74,16.37,19.60,27.55,42.80,59.89,55.76,74.45,87.52,95.62,98.00,98.67,99.00,99.00,98.97,98.71,98.87,98.53,98.99
Ecuador,0.03,0.05,0.08,0.13,0.20,0.31,0.45,0.67,0.99,1.41,2.02,2.88,4.13,5.74,7.43,8.92,10.36,12.32,15.05,19.21,25.65,33.36,40.98,48.22,52.83,55.46,58.24,64.40,68.89,75.00
Egypt,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.07,0.12,0.19,0.31,0.49,0.75,1.13,1.67,2.41,3.49,5.03,7.19,9.51,13.87,18.84,24.94,30.61,38.70,47.36,54.69,62.76,69.03,74.48
