country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,7.606,7.602,7.751,7.888,7.937,7.782,7.477,7.067,6.452,5.958,5.692,5.301,4.975,4.693,4.354,3.931
Croatia,2.734,2.390,2.198,2.098,1.969,1.945,1.893,1.728,1.536,1.647,1.437,1.516,1.491,1.436,1.499,1.524
Cuba,3.951,3.916,4.380,4.292,3.657,2.244,1.700,1.801,1.595,1.535,1.572,1.510,1.696,1.616,1.623,1.636
Curaçao,5.035,5.098,4.522,3.822,2.995,2.468,2.273,2.284,2.270,2.172,2.223,2.210,2.120,1.686,1.517,1.450
Cyprus,3.648,3.464,3.509,3.329,2.755,2.148,2.387,2.425,2.323,1.857,1.545,1.481,1.361,1.332,1.333,1.333
Czech Republic,2.691,2.413,2.195,1.967,2.156,2.352,2.004,1.916,1.713,1.188,1.177,1.421,1.476,1.660,1.804,1.689
Democratic People's Republic of Korea,3.356,3.859,3.483,3.809,3.594,2.859,2.752,2.468,2.287,2.060,1.954,1.959,1.840,1.859,1.908,1.560
Democratic Republic of the Congo,5.974,6.015,6.132,6.267,6.390,6.435,6.519,6.709,6.673,6.722,6.670,6.588,6.547,6.346,6.120,5.627
Denmark,2.544,2.542,2.581,2.340,1.973,1.718,1.435,1.520,1.734,1.752,1.755,1.842,1.739,1.733,1.675,1.708
Djibouti,,,,,,,,,,,,,,,2.725,2.493
Dominican Republic,7.584,7.652,7.387,6.734,5.828,4.848,4.047,3.558,3.287,2.966,2.766,2.547,2.490,2.390,2.269,2.133
Eastern Africa,6.919,6.933,7.018,7.090,7.143,7.144,7.037,6.816,6.466,6.152,5.833,5.463,4.953,4.523,4.196,3.840
Eastern Asia,5.595,5.265,5.130,5.535,4.618,2.875,2.619,2.520,1.887,1.539,1.551,1.633,1.700,1.624,1.289,1.244
Eastern Europe,2.883,2.703,2.367,2.175,2.139,2.093,2.064,2.122,1.690,1.308,1.265,1.418,1.581,1.576,1.493,1.460
Ecuador,6.746,6.756,6.670,6.422,5.866,5.135,4.506,4.010,3.597,3.286,2.975,2.716,2.496,2.171,2.051,1.921
Egypt,7.000,6.871,6.738,6.358,5.969,5.744,5.393,4.955,4.222,3.674,3.319,3.118,3.331,3.178,2.980,2.794
El Salvador,6.361,6.531,6.673,6.475,5.993,5.455,4.820,4.174,3.805,3.410,2.830,2.347,2.186,1.923,1.845,1.787
Equatorial Guinea,5.668,5.651,5.678,5.772,5.803,5.800,5.880,5.970,5.983,5.933,5.729,5.428,5.038,4.600,4.114,3.654
Eritrea,,,,,,,,,,,,,,,3.893,3.601
Estonia,2.255,2.005,1.952,1.964,2.124,2.038,2.101,2.213,1.693,1.330,1.372,1.641,1.591,1.623,1.661,1.638
Ethiopia,7.203,6.928,6.874,6.890,7.055,7.239,7.369,7.330,7.161,6.836,6.349,5.705,4.897,4.411,4.095,3.707
Europe,2.661,2.612,2.535,2.398,2.206,2.000,1.886,1.818,1.600,1.429,1.434,1.539,1.606,1.563,1.479,1.485
Fiji,6.569,6.785,6.122,5.238,4.334,4.068,3.859,3.508,3.347,3.186,2.976,2.869,2.683,2.571,2.455,2.368
Finland,3.024,2.825,2.672,2.251,1.641,1.671,1.683,1.646,1.816,1.754,1.742,1.834,1.790,1.494,1.370,1.454
France,2.818,2.712,2.816,2.677,2.385,1.881,1.890,1.815,1.722,1.748,1.878,1.964,1.990,1.870,1.784,1.783
French Guiana,4.833,4.970,5.096,4.896,4.279,3.571,3.485,3.545,3.828,3.799,3.750,3.646,3.457,3.572,3.359,3.079
French Polynesia,5.732,5.913,5.886,5.818,5.280,4.315,3.849,3.687,3.175,2.632,2.402,2.175,2.032,1.812,1.711,1.753
Gabon,3.977,4.188,4.575,4.920,5.222,5.508,5.724,5.648,5.270,4.672,4.359,4.156,4.073,3.751,3.389,3.067
Gambia,6.351,6.302,6.217,6.210,6.320,6.420,6.387,6.294,6.115,5.938,5.737,5.721,5.564,5.089,4.229,3.825
Georgia,2.881,2.899,2.928,2.718,2.632,2.442,2.316,2.282,2.126,1.741,1.575,1.708,1.981,2.134,2.070,1.882
Germany,2.119,2.252,2.469,2.392,1.758,1.493,1.475,1.428,1.324,1.329,1.354,1.356,1.416,1.554,1.535,1.511
Ghana,6.680,6.807,6.918,6.909,6.899,6.668,6.384,6.042,5.463,4.908,4.706,4.344,4.154,3.818,3.595,3.368
Greece,2.447,2.372,2.282,2.445,2.428,2.402,2.112,1.633,1.450,1.354,1.324,1.411,1.342,1.308,1.351,1.372
Grenada,,,,,,,,,,,,,,,1.985,1.857
Guadeloupe,5.649,5.630,5.727,5.285,4.372,3.165,2.534,2.346,2.172,2.124,2.204,2.223,2.209,2.114,2.315,2.175
Guam,,,,,,,,,,,,,,,2.652,2.506
Guatemala,6.923,6.981,6.899,6.748,6.521,6.315,6.036,5.642,5.323,4.901,4.368,3.714,3.225,2.842,2.596,2.407
Guinea,5.994,6.067,6.140,6.203,6.286,6.441,6.571,6.647,6.535,6.166,5.807,5.608,5.211,4.796,4.396,3.964
Guinea-Bissau,5.902,5.900,5.941,5.996,6.079,6.262,6.623,6.710,6.388,5.993,5.606,5.339,4.970,4.399,3.938,3.528
Guyana,5.978,6.423,6.219,5.747,5.046,4.189,3.637,3.204,3.069,3.058,2.955,2.759,2.606,2.486,2.430,2.299
Haiti,6.238,6.223,6.192,6.024,5.740,5.680,5.662,5.584,5.220,4.669,4.148,3.657,3.311,3.013,2.781,2.586
Honduras,7.493,7.495,7.447,7.336,7.061,6.691,6.162,5.602,5.089,4.546,3.957,3.300,2.785,2.500,2.330,2.155
Hong Kong Special Administrative Region of China,4.430,4.729,5.096,4.180,3.269,2.375,1.796,1.386,1.332,1.127,0.943,1.015,1.185,1.134,0.872,0.924
Hungary,2.674,2.386,1.878,1.964,2.015,2.165,1.819,1.826,1.762,1.401,1.297,1.325,1.324,1.522,1.572,1.490
Iceland,3.841,4.145,4.000,3.327,2.886,2.464,2.282,2.074,2.212,2.058,1.998,2.118,2.024,1.745,1.720,1.752
India,5.819,5.907,5.952,5.818,5.480,5.006,4.635,4.299,3.881,3.515,3.208,2.800,2.464,2.209,1.969,1.858
Indonesia,5.270,5.442,5.585,5.568,5.282,4.819,4.227,3.442,2.963,2.708,2.467,2.463,2.451,2.273,2.116,1.983
Iran (Islamic Republic of),6.968,7.191,7.213,7.021,6.323,6.242,6.529,5.692,4.081,2.416,1.888,1.769,1.890,1.987,1.679,1.679
Iraq,6.608,5.380,6.360,7.011,7.007,6.753,6.449,6.097,5.717,5.227,4.736,4.397,4.421,3.797,3.379,3.030
Ireland,3.483,3.495,3.913,3.881,3.780,3.266,2.905,2.298,1.984,1.900,1.936,1.980,1.982,1.804,1.632,1.625
Israel,4.432,4.028,3.933,3.943,3.984,3.576,3.250,3.195,3.008,2.969,2.913,2.909,3.040,3.190,2.885,2.730
Italy,2.362,2.332,2.484,2.528,2.346,1.944,1.548,1.357,1.280,1.211,1.280,1.400,1.412,1.311,1.244,1.269
Jamaica,4.144,4.932,5.519,5.798,5.243,4.127,3.561,3.149,2.923,2.651,2.158,1.959,1.674,1.460,1.409,1.417
Japan,3.007,2.167,2.021,2.022,2.098,1.832,1.735,1.667,1.501,1.392,1.319,1.334,1.407,1.370,1.337,1.377
Jordan,7.397,7.482,7.838,8.105,8.046,7.683,6.935,6.111,5.126,4.342,3.849,3.833,3.553,3.034,2.720,2.488
Kazakhstan,4.470,4.565,4.396,3.843,3.521,3.256,3.059,3.006,2.599,2.053,2.006,2.453,2.633,2.800,3.064,2.847
Kenya,7.391,7.562,7.787,8.040,7.970,7.790,7.380,6.667,5.766,5.272,4.996,4.682,4.094,3.643,3.319,3.057
Kiribati,6.256,6.391,6.526,6.114,5.293,5.000,4.971,4.820,4.527,4.302,3.879,3.862,3.759,3.442,3.185,2.936
Kuwait,6.994,7.066,7.246,7.277,6.576,5.831,5.025,3.853,3.110,2.949,2.704,2.508,2.186,2.161,2.014,1.886
Kyrgyzstan,4.643,5.028,5.454,5.209,4.903,4.543,4.205,4.096,3.575,2.988,2.616,2.802,3.144,3.140,3.019,2.821
Lao People's Democratic Republic,6.245,6.272,6.309,6.306,6.292,6.296,6.362,6.264,5.852,4.978,4.073,3.480,2.964,2.670,2.478,2.306
