country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Brazil,3.49,4.57,5.81,7.20,8.64,10.27,12.07,14.05,16.13,18.30,20.47,22.59,24.66,26.79,28.29,31.64,34.85,37.47,41.04,45.75,53.08,60.92,67.58,72.23,75.35,79.38,83.88,88.08,92.15,93.47
Bulgaria,4.65,5.70,8.51,12.35,17.12,23.41,30.87,39.06,47.17,56.62,65.79,73.60,79.96,84.93,88.70,91.49,93.57,95.01,96.18,97.34,98.14,98.53,98.55,98.56,98.54,98.40,97.91,97.67,96.91,97.05
Burkina Faso,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.05,0.10,0.15,0.25,0.42,0.75,1.17,1.86,2.92,4.48,6.34,8.14,9.91,11.98,14.41,15.70,15.71,13.09,17.56
Burundi,0.00,0.02,0.06,0.11,0.19,0.28,0.39,0.55,0.77,1.04,1.38,1.81,2.28,2.86,3.49,4.22,5.08,6.06,7.16,8.37,9.71,12.40,12.79,13.22,18.70,28.13,37.01,38.32,38.84,37.76
Cambodia,0.01,0.01,0.03,0.05,0.09,0.14,0.24,0.38,0.63,1.00,1.59,2.45,3.63,5.29,7.48,10.38,13.80,15.41,20.39,26.84,32.01,33.87,30.62,28.94,51.35,63.51,64.66,58.38,60.81,64.53
Cameroon,0.18,0.44,0.62,0.84,1.13,1.48,1.96,2.52,3.25,4.13,5.22,6.52,8.10,9.94,12.11,14.66,17.95,20.81,27.04,34.16,45.42,52.27,60.71,57.83,63.95,65.56,68.99,70.42,74.93,77.70
Canada,83.79,84.47,84.68,85.01,85.48,85.93,86.60,87.21,87.88,88.45,88.93,89.31,89.70,90.19,90.97,92.03,93.29,93.25,95.24,96.61,97.66,98.25,98.45,98.74,98.92,99.14,99.16,99.30,99.88,99.52
Cape Verde,0.26,0.33,0.30,0.40,0.49,0.63,0.81,1.05,1.35,1.79,2.39,3.10,3.94,4.86,5.89,7.13,8.62,10.33,13.00,17.73,23.52,24.94,27.76,32.64,35.63,47.02,50.32,69.06,77.53,84.06
Caribbean,0.91,3.99,4.67,5.54,6.48,7.66,9.18,10.93,12.89,14.91,17.57,21.04,24.52,28.81,33.12,37.54,42.54,46.32,51.54,57.80,63.02,67.61,71.32,77.36,80.22,81.02,82.20,83.00,82.31,83.03
Central African Republic,0.49,0.28,0.45,0.70,1.00,1.24,1.55,1.91,2.34,2.85,3.45,4.15,5.00,5.99,7.14,8.34,9.88,11.58,13.49,15.63,18.02,20.72,26.43,27.10,27.53,30.37,31.85,31.97,35.43,37.98
Central America,2.92,1.68,1.10,1.09,1.40,1.70,1.97,2.19,2.44,2.87,3.28,3.87,4.97,6.75,9.35,12.87,17.70,23.94,31.64,40.30,49.23,57.18,65.76,72.37,77.68,81.11,82.57,85.32,88.38,90.65
Central Asia,2.04,3.25,5.21,8.07,12.31,16.43,21.82,27.14,33.25,39.22,44.36,51.26,59.34,66.39,69.69,77.31,82.79,86.64,91.69,94.83,97.94,99.02,99.36,99.49,99.49,99.49,99.43,99.41,99.42,98.84
Chad,0.01,0.04,0.10,0.17,0.28,0.35,0.48,0.62,0.77,0.98,1.22,1.58,1.92,2.37,2.91,3.50,4.25,5.11,6.19,7.35,8.58,9.67,10.99,12.89,14.62,18.64,22.10,28.19,34.36,40.48
Chile,5.47,7.05,9.03,11.36,14.03,16.96,20.14,23.55,27.10,30.66,34.01,37.12,39.90,42.46,44.54,46.89,50.24,54.52,58.92,65.71,73.44,81.53,88.09,90.66,93.01,95.32,96.47,97.22,97.75,98.20
China,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.15,0.37,0.87,1.88,3.82,7.35,12.82,20.91,31.98,48.62,59.75,69.95,75.14,79.59,85.60,91.17,92.64,93.59,94.23,95.90,97.82,97.92
Colombia,3.42,4.20,5.13,6.22,7.48,8.92,10.57,12.46,14.57,16.89,19.42,22.11,24.97,28.00,31.23,34.66,38.24,37.00,41.19,47.46,55.16,62.94,69.94,75.09,77.78,80.47,83.85,87.92,89.25,91.07
Comoros,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.13,0.18,0.25,0.35,0.51,0.72,1.08,1.65,2.63,4.96,6.04,8.03,14.38,24.80,33.38,40.03,46.04,52.61,60.87,66.13,74.00
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.08,0.18,0.43,0.94,2.00,4.02,7.57,13.02,21.13,28.57,41.04,52.15,62.53,75.57,81.61,80.45,80.75,81.03,80.76,81.27
Costa Rica,8.29,9.33,9.99,10.75,11.38,12.21,13.23,14.43,15.72,17.23,19.02,21.17,23.56,26.24,29.51,33.36,37.52,42.13,48.61,56.93,66.56,75.79,82.46,85.81,85.98,85.12,86.02,89.28,91.60,93.65
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.06,0.10,0.18,0.30,0.52,0.87,1.45,2.40,3.99,6.54,9.59,15.70,21.42,24.81,29.38,35.06,36.64,34.64,38.79,41.50,46.23
Croatia,27.53,31.78,36.17,40.77,45.54,50.52,55.49,60.01,64.05,68.27,72.29,75.70,78.40,80.48,81.24,85.11,85.87,85.73,92.06,96.41,98.40,98.91,99.03,99.29,99.46,99.48,99.49,99.50,99.49,99.53
Cuba,6.51,7.12,8.57,10.03,11.46,12.81,14.15,15.66,17.35,19.53,22.57,26.23,30.57,35.71,41.79,47.63,55.32,62.57,70.88,78.74,85.89,90.77,93.75,96.45,97.22,97.51,97.98,98.42,98.80,98.98
Curaçao,0.63,1.62,2.43,3.84,5.87,8.81,12.51,17.22,22.87,29.42,36.40,44.04,51.16,57.78,64.00,70.03,74.52,79.86,83.23,88.52,91.42,94.05,95.25,96.08,97.54,98.44,99.01,98.89,99.58,98.45
Cyprus,13.66,14.23,17.49,19.89,22.34,24.96,27.81,30.94,34.23,37.79,41.29,44.95,48.38,52.11,55.96,59.83,63.39,70.11,79.38,87.77,94.47,97.86,98.83,99.11,99.18,99.21,99.31,99.48,99.55,99.69
Czech Republic,95.75,96.15,96.61,97.00,97.33,97.57,97.80,97.99,98.18,98.33,98.47,98.62,98.74,98.85,98.95,99.06,99.14,99.26,99.44,99.54,99.56,99.43,99.45,99.50,99.51,99.56,99.50,99.54,99.50,99.65
Democratic People's Republic of Korea,0.00,0.00,0.00,0.01,0.02,0.06,0.14,0.37,0.94,2.39,5.90,13.82,28.67,50.31,70.54,85.12,86.65,96.06,98.14,99.56,99.92,99.97,99.98,99.99,99.98,99.99,99.98,99.97,99.98,99.98
Democratic Republic of the Congo,0.01,0.04,0.07,0.12,0.22,0.31,0.46,0.68,1.03,1.56,2.27,3.23,4.57,6.26,8.38,11.04,14.32,18.20,23.75,26.79,35.30,43.83,50.26,55.69,60.66,65.14,64.87,69.05,68.66,74.74
Denmark,99.81,99.85,99.86,99.86,99.86,99.87,99.87,99.87,99.87,99.88,99.88,99.88,99.86,99.87,99.87,99.86,99.87,99.87,99.87,99.88,99.86,99.84,99.80,99.81,99.78,99.81,99.87,99.96,99.99,99.99
Dominican Republic,1.67,2.05,2.49,3.02,3.63,4.34,5.15,6.05,7.02,7.99,8.83,9.67,10.64,11.92,13.61,16.61,17.90,20.81,24.99,31.45,38.85,47.45,56.45,64.54,69.18,71.64,75.20,79.20,84.03,85.46
Eastern Africa,0.08,0.20,0.32,0.48,0.62,0.80,0.99,1.16,1.37,1.62,1.99,2.37,2.94,3.70,4.71,6.21,7.55,9.34,11.69,15.08,19.47,23.91,29.24,35.32,40.46,44.01,46.73,49.87,51.55,52.91
Eastern Asia,2.50,3.12,3.92,5.09,6.86,8.72,10.47,10.32,10.86,11.42,12.92,13.97,16.04,20.13,24.87,32.88,43.45,57.09,66.67,75.67,79.70,82.41,87.65,92.36,93.54,94.42,95.09,96.41,98.04,98.16
Eastern Europe,7.55,9.57,17.37,23.82,29.11,31.49,37.01,44.12,52.30,60.28,67.94,72.08,75.93,77.98,83.86,89.38,94.94,97.17,98.53,99.21,99.57,99.66,99.68,99.66,99.63,99.62,99.53,99.54,99.53,99.59
Ecuador,4.21,4.70,5.79,7.02,8.40,9.96,11.73,13.71,15.83,18.10,20.47,22.97,25.58,27.89,29.03,29.28,31.39,34.15,38.73,45.43,53.30,61.73,69.02,75.22,79.45,81.99,83.74,85.90,87.92,89.50
Egypt,0.06,0.13,0.21,0.32,0.51,0.64,0.87,1.19,1.58,2.09,2.77,3.56,4.53,5.71,7.07,8.67,10.76,13.45,16.76,20.53,25.86,31.50,37.98,44.19,51.49,58.67,64.67,70.29,75.57,80.00
El Salvador,2.05,2.09,2.57,3.15,3.75,4.37,4.95,5.56,6.18,6.81,7.37,7.91,8.47,9.21,10.52,11.66,13.74,17.02,21.88,27.36,33.37,40.31,46.86,52.42,57.08,61.39,66.86,71.32,75.87,79.78
Equatorial Guinea,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.13,0.26,0.57,1.16,2.19,3.99,6.86,10.92,15.86,21.59,27.64,33.90,39.19,47.92,58.19,63.19,63.59,67.78,70.90,77.67,63.75,76.68,78.95
Estonia,1.87,2.85,4.67,7.57,12.02,18.51,27.58,38.68,51.07,63.21,73.97,82.74,89.02,93.25,95.91,97.48,98.49,99.00,99.46,99.70,99.80,99.83,99.83,99.81,99.76,99.72,99.66,99.72,99.68,99.78
Ethiopia,0.10,0.12,0.14,0.16,0.20,0.23,0.28,0.32,0.38,0.48,0.58,0.73,0.88,1.07,1.32,1.60,1.74,2.34,2.84,3.57,4.71,6.17,8.14,10.54,13.25,16.22,19.54,25.99,28.35,31.05
Europe,30.30,29.73,42.89,49.88,54.04,57.56,61.18,63.33,66.46,70.09,74.15,76.42,78.76,80.15,83.36,86.77,90.05,91.64,94.40,95.67,97.14,97.96,98.46,98.77,99.00,99.14,99.21,99.34,99.43,99.50
Fiji,0.12,0.19,0.30,0.48,0.76,1.17,1.74,2.59,3.77,5.46,7.80,10.94,15.09,20.31,26.58,33.92,42.12,50.89,56.54,68.75,80.19,85.84,91.03,94.51,96.13,96.70,97.68,97.98,98.78,99.19
Finland,99.89,99.89,99.89,99.89,99.89,99.89,99.89,99.89,99.89,99.89,99.90,99.90,99.90,99.90,99.91,99.92,99.92,99.93,99.94,99.96,99.97,99.97,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
France,50.33,55.98,61.93,67.89,73.13,77.55,81.23,84.18,86.87,89.07,91.08,92.67,93.88,94.87,95.28,96.58,96.78,96.46,96.32,96.59,97.46,97.82,98.04,98.30,98.66,98.90,98.99,99.24,99.33,99.56
French Guiana,1.78,0.37,2.31,3.04,4.33,5.79,7.63,9.84,12.59,16.02,20.05,24.32,28.58,33.56,39.66,46.18,53.15,59.75,65.38,69.68,72.81,75.62,77.74,79.21,80.42,81.49,83.75,83.29,84.21,87.27
French Polynesia,0.10,0.16,0.28,0.48,0.77,1.25,1.98,3.07,4.68,6.95,10.13,14.20,19.34,25.60,33.07,41.16,45.11,55.37,62.98,71.22,80.99,86.02,88.62,91.23,93.51,95.70,97.54,98.20,99.02,99.32
Gabon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.18,0.51,1.40,3.59,8.00,14.98,24.43,37.24,52.24,65.13,71.79,75.60,77.55,79.02,82.41,84.95,84.98
Gambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.31,1.74,7.44,10.54,13.07,15.83,20.69,28.06,32.69,39.68,48.93,55.98,62.85
Georgia,0.00,0.00,0.01,0.02,0.05,0.14,0.38,1.05,2.73,6.47,13.66,25.57,41.47,58.51,73.18,84.01,91.06,95.00,97.32,98.59,99.09,99.30,99.44,99.47,99.49,99.53,99.50,99.50,99.37,99.49
Germany,99.91,99.92,99.92,99.93,99.94,99.94,99.96,99.97,99.98,99.97,99.98,99.99,100.00,99.99,99.99,99.99,99.99,99.99,100.00,100.00,99.99,99.99,99.99,100.00,99.99,99.99,100.00,100.00,99.99,99.99
Ghana,0.24,0.41,0.65,0.95,1.34,1.84,2.47,3.25,4.25,5.45,6.82,8.58,10.78,13.36,16.11,19.22,22.55,26.40,29.92,37.73,44.92,55.99,56.46,56.38,56.91,59.53,63.29,68.00,73.46,72.87
Greece,0.50,1.06,1.94,3.27,5.08,7.34,9.71,12.20,15.26,19.26,24.44,30.37,36.68,43.12,50.06,57.56,65.72,74.17,76.92,89.26,94.66,97.03,97.86,98.16,98.26,98.13,97.87,98.03,97.76,98.30
Guadeloupe,0.05,0.13,0.20,0.34,0.59,0.96,1.59,2.53,3.92,5.90,8.78,12.87,18.43,25.51,34.17,44.08,54.68,64.96,73.96,78.53,83.90,87.92,90.75,93.05,94.75,95.89,96.93,97.74,98.07,98.22
Guatemala,1.21,1.55,1.97,2.40,2.84,3.36,3.96,4.66,5.39,6.17,7.12,8.24,9.54,10.98,12.51,14.09,15.36,16.76,18.13,20.65,24.53,29.21,34.09,39.02,43.65,47.36,51.80,57.42,66.47,74.17
Guinea,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.06,0.09,0.15,0.24,0.38,0.61,0.98,1.56,2.09,3.41,5.30,8.95,13.98,15.49,15.81,16.48,16.94,19.83,26.59,33.89,42.68
Guinea-Bissau,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.07,0.14,0.24,0.43,0.80,1.36,2.26,3.81,6.57,9.69,13.91,19.90,23.81,28.75,34.95,41.56,49.27,51.12
Guyana,2.00,1.90,2.56,3.41,5.48,6.84,9.70,12.48,16.93,21.63,26.86,32.84,38.86,45.25,51.94,58.06,60.99,67.33,71.98,78.17,83.89,87.72,89.96,92.23,93.46,94.61,95.89,96.62,96.38,96.64
Haiti,2.13,2.37,2.60,2.88,3.15,3.44,3.76,4.11,4.49,4.93,5.40,5.90,6.43,7.00,7.77,8.33,9.11,10.47,12.25,13.88,16.56,19.81,24.62,31.56,40.05,45.48,57.89,60.13,53.88,57.36
Honduras,2.30,2.91,3.63,4.59,5.84,6.41,7.05,7.57,8.03,8.45,8.75,8.90,9.00,9.09,9.28,10.30,10.73,12.96,16.50,21.02,27.09,33.70,39.85,46.15,51.81,56.34,60.66,65.64,70.97,73.89
Hong Kong Special Administrative Region of China,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.12,0.28,0.58,1.26,2.61,5.12,9.13,14.90,22.37,31.85,41.33,54.18,64.75,73.04,80.15,87.50,93.64,96.47,97.78,98.50,99.25,99.57,99.79
Hungary,80.46,81.98,84.67,87.22,89.49,91.10,92.52,93.69,94.69,95.56,96.32,96.94,97.41,97.79,98.13,98.41,98.81,98.81,99.06,99.28,99.39,99.46,99.38,99.40,99.53,99.59,99.58,99.63,99.59,99.69
Iceland,0.00,0.00,0.01,0.02,0.07,0.26,1.00,3.56,11.58,28.85,53.06,79.35,94.64,98.90,99.78,99.97,99.99,99.99,99.99,99.98,100.00,99.98,99.99,99.98,99.97,99.97,99.98,99.98,99.96,99.96
India,1.32,1.15,1.57,2.14,2.79,3.50,4.28,5.12,6.00,7.22,8.36,9.77,11.06,12.55,14.30,16.38,18.92,21.87,26.14,29.51,34.29,39.94,43.96,47.11,50.89,55.57,61.08,68.34,73.65,80.06
Indonesia,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.14,0.29,0.64,1.32,2.62,4.88,8.74,14.38,26.28,29.57,34.30,41.13,51.22,59.66,69.06,74.23,80.10,86.48,91.25,93.31,94.04,95.15,95.15
Iran (Islamic Republic of),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.08,0.17,0.37,0.75,1.66,3.46,11.82,12.46,13.74,19.32,29.79,38.12,47.67,56.08,66.15,73.36,80.38,87.27,89.84,92.62,93.75
Iraq,0.00,0.01,0.01,0.02,0.03,0.06,0.10,0.19,0.33,0.58,0.97,1.63,2.64,3.99,5.81,8.26,11.53,13.32,19.74,29.72,38.67,44.76,53.89,61.25,67.79,69.64,67.86,67.40,64.40,65.24
Ireland,97.44,97.81,97.86,97.92,97.95,98.05,98.17,98.26,98.35,98.44,98.51,98.58,98.64,98.71,98.76,98.85,98.94,98.99,99.16,99.38,99.55,99.49,99.60,99.66,99.64,99.51,99.50,99.55,99.51,99.55
Israel,4.07,5.73,7.68,10.08,12.98,16.48,20.54,25.15,30.03,35.03,40.22,45.38,50.39,55.51,61.29,69.81,73.07,76.42,81.79,87.43,91.32,93.04,93.94,94.53,95.08,95.60,95.97,96.17,95.33,96.53
Italy,4.13,5.59,7.39,9.55,12.07,15.01,18.47,22.55,27.32,32.90,39.34,46.60,54.10,61.59,69.03,75.80,81.80,86.62,90.38,93.20,96.10,97.39,98.00,98.49,98.72,98.88,99.00,99.29,99.39,99.61
Jamaica,2.65,3.50,4.75,6.33,8.20,10.44,13.02,16.10,19.55,23.47,27.84,32.46,37.41,42.74,48.22,53.83,59.36,65.11,69.25,74.17,80.00,86.59,92.21,95.57,96.85,97.73,98.34,98.98,99.20,99.34
Japan,14.97,23.61,34.36,46.09,57.93,68.90,78.15,85.38,90.63,94.07,96.25,97.65,98.54,99.06,99.43,99.62,99.74,99.78,99.81,99.84,99.89,99.89,99.89,99.91,99.93,99.94,99.94,99.92,99.93,99.89
Jordan,0.00,0.00,0.00,0.01,0.02,0.03,0.06,0.09,0.19,0.33,0.62,1.13,2.03,3.58,6.04,9.73,15.71,23.91,33.62,65.10,71.79,75.10,78.02,79.55,79.23,80.19,80.82,82.02,85.52,88.42
Kazakhstan,3.97,5.96,8.89,13.10,18.84,25.93,34.31,43.38,52.33,60.49,66.89,71.83,76.46,79.61,78.13,83.54,84.83,87.49,91.61,94.08,97.77,98.97,99.38,99.54,99.53,99.53,99.50,99.57,99.48,99.41
Kenya,0.01,0.03,0.05,0.09,0.15,0.23,0.35,0.53,0.77,1.10,1.57,2.20,3.07,4.22,5.70,7.74,9.63,12.70,17.53,27.13,38.78,45.55,54.49,63.53,70.35,74.80,74.94,77.47,78.05,74.52
Kiribati,0.30,0.04,0.41,0.63,0.91,1.33,1.84,2.52,3.38,4.47,5.75,7.34,9.12,11.37,14.53,18.40,22.80,27.94,34.20,41.86,49.87,57.05,65.61,71.08,75.45,79.50,82.01,84.48,89.75,88.34
Kuwait,0.00,0.00,0.00,0.02,0.03,0.06,0.12,0.22,0.39,0.76,1.28,2.33,3.93,6.99,10.46,15.47,20.72,25.90,33.82,41.43,47.75,69.17,68.16,65.68,64.22,63.10,61.77,82.25,76.25,97.37
Kyrgyzstan,0.02,0.04,0.08,0.15,0.27,0.53,0.93,1.64,2.81,4.85,8.84,15.58,24.07,35.32,47.93,60.37,72.95,79.86,88.35,94.78,98.39,99.32,99.62,99.63,99.66,99.65,99.57,99.67,99.58,99.14
Lao People's Democratic Republic,0.03,0.07,0.12,0.18,0.29,0.40,0.42,0.61,0.89,1.32,1.94,2.83,4.04,5.69,7.84,10.64,14.27,18.87,24.22,29.97,36.62,42.85,51.49,57.08,63.07,64.69,67.46,72.65,77.12,80.93
Latin America and the Caribbean,4.74,4.82,5.33,6.07,7.20,8.73,10.58,12.53,14.60,16.95,19.11,21.28,23.62,26.23,28.82,32.05,35.72,39.30,44.04,49.93,57.06,64.11,70.47,75.20,78.75,81.95,84.74,87.65,90.36,91.64
Latvia,59.05,63.39,67.91,72.26,75.81,79.57,82.71,85.57,88.05,90.12,91.82,93.39,94.61,95.55,96.37,96.80,97.88,97.98,99.08,99.50,99.67,99.76,99.77,99.71,99.65,99.60,99.51,99.39,99.49,98.95
Lebanon,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.10,0.21,0.42,0.85,1.62,3.02,5.37,9.18,14.94,23.04,33.23,39.92,51.89,63.67,73.61,81.38,87.20,91.31,94.20,95.40,97.55,97.67,97.64
Lesotho,0.02,0.17,0.25,0.37,0.54,0.75,1.01,1.33,1.71,2.05,2.51,3.11,3.89,4.90,6.11,7.59,9.60,12.45,15.57,18.92,23.15,29.03,37.53,48.47,57.49,61.78,64.27,69.03,72.89,73.95
Liberia,0.02,0.04,0.05,0.07,0.10,0.14,0.19,0.26,0.38,0.56,0.84,1.26,1.86,2.74,3.92,5.50,7.63,10.49,14.18,18.03,23.10,29.83,34.15,38.66,40.97,40.65,44.14,47.27,47.23,49.96
Lithuania,0.08,0.19,0.42,0.90,1.83,3.53,6.39,10.94,17.51,26.62,36.72,48.14,59.66,68.27,75.70,84.22,88.25,89.57,94.95,97.90,99.16,99.57,99.63,99.63,99.61,99.43,99.13,99.08,99.64,98.35
Luxembourg,99.89,99.89,99.89,99.90,99.90,99.90,99.91,99.91,99.91,99.91,99.91,99.91,99.92,99.92,99.93,99.93,99.94,99.95,99.95,99.96,99.97,99.97,99.98,99.98,99.98,99.99,99.99,100.00,100.00,99.98
Macao Special Administrative Region of China,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.11,0.25,0.53,1.17,2.32,4.32,7.36,12.26,18.94,28.24,38.83,50.31,61.44,71.89,80.06,85.22,90.22,93.91,96.47,97.93,98.43,98.94,99.01
Madagascar,0.02,0.04,0.04,0.06,0.09,0.13,0.19,0.28,0.41,0.59,0.88,1.29,1.91,2.87,4.33,6.47,9.46,11.95,15.31,20.00,24.86,28.41,31.41,39.78,43.82,37.73,40.15,33.92,40.36,47.57
