country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.01,0.02,0.04,0.05,0.14,0.28,0.48,0.53,0.60,0.83,1.26,1.56,2.89,2.05,2.64,3.12
Croatia,1.93,2.24,2.84,4.10,4.90,4.67,4.89,5.02,5.23,6.35,7.57,8.43,15.83,10.89,21.00,23.22
Cuba,1.33,2.03,3.12,4.61,6.30,7.83,8.97,9.41,9.48,9.44,9.97,11.84,21.95,16.65,17.01,18.29
Curaçao,0.96,1.33,1.82,2.29,2.75,3.12,3.08,3.15,3.62,4.17,4.73,5.05,7.15,5.73,5.85,7.53
Cyprus,1.87,2.96,4.85,7.29,9.49,12.51,15.10,16.41,18.26,21.52,24.14,26.49,36.52,31.49,32.31,33.11
Czech Republic,2.29,3.09,3.74,5.30,5.15,5.63,6.79,7.45,7.36,7.57,9.84,10.76,17.58,13.92,27.36,29.30
Democratic People's Republic of Korea,2.69,6.00,8.15,10.43,11.11,12.67,13.04,11.25,11.48,10.59,11.49,17.32,13.05,17.20,16.27,18.02
Democratic Republic of the Congo,0.20,0.30,0.45,0.50,0.85,1.15,1.25,1.64,1.86,2.05,2.43,2.82,5.91,3.43,3.64,4.16
Denmark,1.42,1.74,2.22,2.82,3.51,4.11,4.30,4.32,4.74,5.52,5.93,6.21,12.14,7.10,14.38,16.45
Djibouti,,,,,,,,,,,,,,,4.11,4.87
Dominican Republic,1.40,1.81,2.24,3.19,4.94,7.20,8.91,9.80,9.78,10.60,12.51,14.58,16.34,18.38,20.54,21.86
Eastern Africa,0.36,0.47,0.60,0.81,1.06,1.36,1.62,1.90,2.12,2.09,2.32,3.55,3.89,3.18,3.76,4.42
Eastern Asia,1.44,2.30,3.18,3.56,3.87,4.19,5.42,6.79,7.52,9.82,13.52,18.64,24.32,35.58,39.25,46.15
Eastern Europe,3.48,3.52,5.64,7.28,8.45,8.73,9.47,10.56,11.32,12.80,16.60,17.07,19.90,19.52,19.32,20.50
Ecuador,1.58,2.40,3.65,5.63,8.56,11.92,14.58,15.82,15.42,15.42,16.50,18.35,20.22,22.01,23.41,24.62
Egypt,2.35,3.09,4.01,5.15,6.54,7.92,9.45,10.34,10.95,11.94,13.11,15.08,17.48,27.65,45.65,51.74
El Salvador,1.13,1.57,2.14,2.90,3.55,4.46,5.63,6.60,7.15,7.29,8.24,12.04,9.40,11.03,12.22,13.42
Equatorial Guinea,0.01,0.04,0.13,0.76,1.35,1.33,1.20,1.12,1.42,1.56,1.20,1.24,1.76,2.05,2.51,3.25
Eritrea,,,,,,,,,,,,,,,4.11,4.80
Estonia,3.25,6.90,9.76,12.12,13.61,16.15,18.51,20.09,19.21,18.42,19.14,19.91,41.03,22.02,44.76,46.19
Ethiopia,0.10,0.15,0.18,0.27,0.43,0.65,0.85,0.96,1.03,1.09,1.21,2.28,1.32,1.45,1.90,2.45
Europe,3.33,3.79,5.41,7.02,8.44,9.27,10.16,11.20,12.42,14.45,17.11,18.17,25.62,21.15,21.50,23.08
Fiji,2.92,3.72,4.74,4.87,6.36,8.55,8.69,8.59,11.16,15.94,19.41,26.19,26.39,30.02,31.85,33.37
Finland,0.31,0.66,1.38,1.93,2.17,2.57,3.34,3.73,3.96,4.06,4.06,4.09,11.77,4.42,8.78,10.13
France,3.82,4.32,5.89,8.79,11.33,12.38,13.59,15.20,18.69,23.59,26.70,28.67,37.26,34.46,68.77,71.79
French Guiana,1.79,2.66,3.61,4.33,4.88,5.82,5.50,5.49,6.05,6.45,6.86,13.09,7.07,8.13,8.77,9.77
French Polynesia,2.60,4.13,5.68,8.82,11.82,12.25,12.25,12.68,14.17,16.43,19.00,23.32,22.58,25.79,26.12,27.80
Gabon,0.05,0.16,0.43,0.83,1.59,2.35,2.70,2.24,2.30,2.34,2.96,3.02,6.59,2.83,3.18,3.81
Gambia,0.00,0.01,0.09,0.61,0.87,1.10,1.36,1.87,2.51,2.37,2.39,3.01,5.98,4.05,4.51,5.29
Georgia,11.88,15.42,17.42,19.98,24.13,24.09,24.86,25.58,25.95,26.50,26.35,27.47,48.21,30.75,60.58,61.74
Germany,3.32,4.48,5.62,7.15,7.68,9.03,9.92,10.68,11.41,12.06,13.60,14.47,39.53,16.95,33.78,36.75
Ghana,0.94,1.21,1.43,2.20,2.57,2.91,2.53,2.08,1.90,2.05,2.52,2.78,2.88,3.12,3.72,4.16
Greece,2.47,3.47,4.51,6.31,8.47,11.30,12.81,14.66,16.24,17.86,20.62,22.47,33.16,27.25,54.94,57.17
Grenada,,,,,,,,,,,,,,,21.25,22.08
Guadeloupe,1.89,2.90,4.05,4.64,5.65,6.61,6.74,6.94,8.39,10.48,11.53,22.28,13.14,14.73,14.83,15.56
Guam,,,,,,,,,,,,,,,31.80,32.95
Guatemala,0.32,0.41,0.51,0.60,0.82,1.03,1.25,1.39,1.46,1.60,1.77,1.92,2.25,6.72,2.81,3.17
Guinea,0.07,0.19,0.36,0.66,1.22,2.05,2.16,1.41,1.33,1.43,2.12,2.92,9.71,4.90,5.38,6.53
Guinea-Bissau,0.02,0.05,0.08,0.13,0.21,0.33,0.36,0.39,0.33,0.31,0.26,0.29,0.70,0.34,0.35,0.41
Guyana,2.65,3.50,4.44,5.82,7.06,7.34,6.46,5.74,6.04,7.07,13.13,9.78,10.40,11.30,11.70,12.48
Haiti,0.05,0.06,0.06,0.07,0.08,0.08,0.10,0.14,0.18,0.21,0.78,0.23,0.23,0.28,0.33,0.44
Honduras,0.35,0.50,0.70,0.93,1.25,1.59,1.96,2.34,2.47,2.47,2.55,3.06,5.95,4.22,4.79,5.63
Hong Kong Special Administrative Region of China,2.16,3.81,6.69,6.67,6.31,7.64,9.93,14.15,18.70,23.22,27.71,32.07,41.44,41.79,83.06,85.90
Hungary,3.87,5.09,5.74,9.37,10.03,10.12,11.83,14.30,15.92,18.48,22.91,25.10,34.09,31.09,62.34,65.21
Iceland,1.95,2.35,2.84,3.58,4.72,5.41,5.63,5.79,6.22,6.73,6.58,6.80,9.84,7.50,15.58,17.51
India,1.40,1.95,2.96,3.46,4.36,5.59,6.16,6.63,7.33,7.99,9.53,11.71,16.21,16.79,19.26,22.19
Indonesia,0.16,0.31,0.52,0.85,1.28,1.67,2.17,2.98,3.28,3.28,3.73,4.70,5.80,7.55,16.57,19.24
Iran (Islamic Republic of),0.71,1.12,1.97,3.61,4.87,6.30,7.05,7.90,9.84,11.46,11.91,13.87,17.68,19.27,20.67,23.21
Iraq,0.57,0.93,1.92,3.69,4.00,4.80,6.40,7.63,7.26,6.97,7.22,8.10,8.41,9.11,11.33,12.97
Ireland,5.56,7.00,8.98,10.79,13.50,16.01,19.23,22.05,26.54,30.24,33.15,34.42,61.23,36.96,74.62,77.03
Israel,5.12,6.59,7.70,8.46,9.56,9.47,9.54,9.39,9.74,10.63,11.27,28.20,11.95,12.91,26.52,28.72
Italy,0.82,1.12,1.49,1.69,2.43,3.14,3.35,3.52,4.17,5.30,6.18,7.13,12.86,9.63,19.54,21.42
Jamaica,4.60,6.02,6.90,8.81,11.65,14.22,14.27,13.52,14.26,16.81,18.42,20.04,22.72,24.73,27.82,29.38
Japan,5.62,5.44,6.37,8.09,11.27,15.30,20.23,21.64,22.49,24.54,27.01,28.45,29.48,32.84,32.42,33.60
Jordan,1.95,3.44,5.46,13.59,15.94,16.83,17.49,16.66,14.18,12.56,12.25,14.27,15.33,16.23,36.27,38.64
Kazakhstan,4.98,6.26,8.07,10.25,14.12,13.69,14.06,14.93,15.34,16.33,17.88,37.64,22.52,23.40,23.09,23.67
Kenya,0.43,0.55,0.84,1.46,2.01,2.63,3.17,3.60,4.08,3.93,4.19,8.70,4.68,5.06,11.22,12.67
Kiribati,0.17,0.22,0.27,0.34,0.41,0.46,0.56,0.57,0.55,0.59,0.58,0.72,0.85,1.07,1.11,1.34
Kuwait,1.51,1.88,2.56,3.21,3.65,7.97,6.87,5.41,4.70,4.72,4.55,6.21,5.08,7.72,8.15,9.39
Kyrgyzstan,2.32,2.87,4.56,5.96,7.83,7.47,7.19,6.82,6.23,5.84,6.30,21.15,7.38,8.12,8.10,8.50
Lao People's Democratic Republic,0.29,0.48,0.77,1.16,1.81,2.43,3.70,4.53,4.91,4.07,4.52,6.44,7.32,7.83,9.89,12.34
Latin America and the Caribbean,1.51,2.00,2.71,3.80,5.06,6.20,7.09,7.68,8.02,8.61,9.56,10.62,12.13,14.27,14.04,15.23
Latvia,3.72,4.54,6.01,6.26,7.86,9.41,10.36,10.85,11.43,12.48,14.16,15.04,25.03,17.95,36.01,38.16
Lebanon,0.97,1.73,2.37,3.68,5.48,7.46,9.70,12.15,14.66,17.82,21.88,32.90,30.50,35.09,37.33,39.32
Lesotho,0.74,0.96,1.18,1.37,1.62,1.75,1.99,2.45,2.67,3.28,3.75,4.49,11.38,5.51,6.69,7.51
Liberia,0.10,0.14,0.21,0.26,0.36,0.49,0.48,0.45,0.36,0.26,0.26,0.56,0.20,0.24,0.28,0.42
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,20.44,23.27
Lithuania,6.87,8.67,12.82,15.53,20.39,23.44,25.31,25.57,24.88,23.02,21.92,23.38,41.44,26.14,53.26,54.05
Luxembourg,2.95,4.29,5.44,7.18,8.59,8.97,9.01,9.87,11.29,13.42,15.33,16.95,27.02,20.62,41.24,44.79
Macao Special Administrative Region of China,0.25,0.48,0.86,1.40,2.14,3.17,3.39,5.22,8.91,12.47,16.61,19.48,29.39,26.74,27.12,29.09
Madagascar,0.33,0.50,0.77,1.39,1.61,1.97,1.83,1.62,1.51,1.23,1.46,2.30,1.78,2.00,2.70,3.20
Malawi,0.07,0.11,0.19,0.31,0.48,0.57,0.71,0.79,0.75,0.79,0.95,1.33,1.10,1.41,1.72,2.04
Malaysia,1.63,1.71,2.27,3.45,3.82,6.25,8.28,10.51,12.56,16.62,20.63,24.02,28.76,33.75,32.71,35.94
Maldives,0.00,0.01,0.03,0.08,0.21,0.45,1.08,2.11,3.51,5.26,7.33,10.14,11.82,11.77,29.94,31.91
Mali,0.12,0.21,0.31,0.47,0.76,1.30,1.50,1.34,1.28,1.50,2.04,3.45,3.59,3.92,5.05,6.37
Malta,4.09,4.36,5.66,6.75,7.39,8.28,9.94,12.84,15.36,18.80,21.17,25.55,34.22,33.77,35.67,37.68
Martinique,0.27,0.92,3.80,4.66,5.56,6.50,6.44,6.50,8.27,10.69,11.54,24.59,13.26,14.65,14.84,15.50
Mauritania,,,,,,,,,,,,,,,3.43,4.26
Mauritius,0.28,0.37,0.45,0.54,0.66,1.09,1.27,1.00,1.25,1.89,2.60,3.69,7.79,6.58,6.97,7.83
Mayotte,,,,,,,,,,,,,,,14.42,14.49
Melanesia,2.57,3.14,4.03,4.61,6.05,7.96,8.21,8.14,9.78,12.08,14.35,19.32,17.73,19.24,8.82,9.68
Mexico,0.59,1.03,1.71,2.63,3.74,4.81,6.18,6.93,6.91,7.28,7.99,9.19,10.06,11.29,25.08,27.12
Micronesia,0.36,0.90,1.88,3.21,5.81,6.75,6.23,5.02,4.67,4.94,4.46,4.81,4.49,5.58,15.23,16.57
Micronesia (Federated States of),0.37,1.31,3.30,5.90,10.34,12.16,10.62,8.64,8.08,7.89,7.19,8.13,8.48,10.20,10.85,12.09
Middle Africa,0.14,0.21,0.31,0.42,0.72,0.99,1.10,1.29,1.46,1.65,1.89,2.18,4.11,2.73,2.96,3.39
Mongolia,2.78,6.17,8.28,11.97,13.35,12.41,12.77,12.78,12.00,14.19,18.80,21.46,23.85,28.28,27.94,30.35
Montenegro,2.56,3.87,4.77,5.44,7.22,7.41,7.60,7.64,7.06,7.70,9.26,10.33,20.04,13.64,27.16,29.61
Morocco,0.08,0.21,0.74,1.26,2.25,2.98,4.33,5.88,6.64,6.33,6.52,8.79,11.03,13.65,18.86,22.75
Mozambique,0.02,0.04,0.07,0.13,0.19,0.36,0.66,0.97,0.96,0.96,1.20,1.37,1.23,1.89,2.21,2.58
Myanmar,0.72,1.01,1.14,1.64,2.24,2.52,2.86,3.34,3.87,4.63,5.60,7.03,12.47,10.37,11.87,14.02
Namibia,0.04,0.15,0.47,1.56,2.23,2.80,3.57,4.24,4.19,3.52,3.50,3.75,6.42,4.19,4.57,5.21
Nepal,0.08,0.12,0.16,0.24,0.34,0.49,0.63,0.71,0.88,0.98,1.09,1.41,2.55,2.30,2.56,3.00
Netherlands,2.16,2.51,3.75,5.74,7.27,8.50,9.77,10.30,11.33,12.99,14.87,16.56,17.95,19.21,41.82,44.62
New Caledonia,5.78,6.13,7.72,10.67,13.30,16.17,17.49,18.40,19.92,22.22,25.32,33.09,29.29,32.67,32.88,34.06
New Zealand,4.51,6.86,9.78,13.21,16.83,23.63,25.83,26.34,27.34,29.43,31.20,32.20,48.50,35.40,71.27,75.52
Nicaragua,0.77,1.25,1.96,2.78,4.07,5.60,6.79,7.20,6.60,6.56,7.70,8.59,9.81,11.52,13.05,14.37
Niger,0.01,0.02,0.04,0.09,0.14,0.27,0.52,0.53,0.67,0.79,0.62,0.73,0.81,0.74,1.18,1.50
Nigeria,0.51,0.75,1.31,1.41,1.61,2.30,3.74,4.59,4.56,4.81,5.41,6.09,13.13,7.35,7.82,8.39
Northern Africa,1.10,1.53,2.09,3.00,4.32,5.12,6.06,6.87,7.70,8.80,10.31,13.10,14.89,21.40,20.01,22.72
Northern America,7.19,9.84,11.82,14.31,17.20,17.88,17.52,18.17,19.29,20.02,20.23,21.33,22.94,24.53,24.63,25.53
