country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,0.01,0.02,0.05,0.06,0.15,0.47,1.02,1.46,2.91,4.33,5.11,6.96,8.89,11.79,14.80,18.06
Croatia,17.08,19.98,24.70,39.63,53.60,59.88,67.35,74.35,78.10,82.12,87.76,92.40,96.28,96.07,110.49,111.21
Cuba,7.41,10.38,15.05,20.73,29.12,37.59,46.62,54.57,59.04,63.44,65.85,72.55,82.09,82.14,85.27,87.44
Curaçao,5.32,8.01,11.00,12.91,15.24,20.98,23.13,25.26,30.09,34.61,39.33,43.75,55.77,50.33,53.58,56.50
Cyprus,9.02,13.39,21.14,33.01,42.90,54.15,66.77,75.73,80.26,82.49,85.82,89.63,93.23,94.60,96.24,95.87
Czech Republic,44.40,46.74,55.30,63.56,72.78,72.09,78.36,85.19,88.56,89.70,89.41,90.34,92.80,91.77,110.48,111.93
Democratic People's Republic of Korea,26.87,64.61,69.18,87.60,98.35,99.78,99.88,99.88,99.88,99.88,99.92,99.89,99.95,99.96,99.96,99.94
Democratic Republic of the Congo,0.01,0.04,0.16,0.34,1.80,2.58,2.99,5.94,7.37,9.80,11.23,14.14,17.37,20.66,23.19,26.43
Denmark,22.89,28.63,35.88,44.22,53.77,56.05,58.50,64.47,67.86,69.58,70.59,71.85,77.28,73.47,84.60,87.70
Djibouti,,,,,,,,,,,,,,,17.92,21.81
Dominican Republic,4.80,5.59,6.55,8.42,12.05,17.69,23.48,28.45,31.31,34.61,40.71,48.20,54.77,61.21,67.53,71.90
Eastern Africa,0.82,1.07,1.35,1.79,2.27,3.11,4.26,6.00,7.99,8.92,10.50,12.94,14.25,15.22,17.92,21.50
Eastern Asia,9.19,10.81,13.55,17.16,18.16,17.96,25.53,27.54,25.46,30.01,37.42,44.20,49.77,60.09,69.38,75.75
Eastern Europe,28.19,24.93,42.75,57.16,72.76,79.60,84.84,87.82,87.52,87.60,87.60,89.33,90.94,91.55,92.37,92.54
Ecuador,5.23,6.40,8.54,11.56,16.53,22.86,29.01,34.62,37.73,39.52,42.11,47.24,51.49,56.56,60.91,64.45
Egypt,2.76,4.02,5.85,7.88,11.77,16.37,21.99,27.18,34.28,41.81,48.83,56.93,62.70,70.26,98.82,107.86
El Salvador,2.64,3.72,4.80,6.29,8.18,10.67,13.94,17.94,21.35,24.22,28.30,33.44,34.38,39.72,44.79,49.33
Equatorial Guinea,0.01,0.04,0.11,0.36,0.73,0.71,1.64,1.05,1.63,2.17,2.43,2.70,4.11,5.43,7.03,9.63
Eritrea,,,,,,,,,,,,,,,17.92,21.66
Estonia,26.35,39.03,53.41,65.17,73.64,79.93,85.44,87.90,87.90,85.03,81.61,83.23,88.91,85.66,117.12,118.77
Ethiopia,0.06,0.10,0.14,0.21,0.36,0.60,1.02,1.51,2.03,2.68,3.69,5.49,5.93,7.85,11.01,15.03
Europe,22.84,23.77,36.55,46.04,56.86,65.33,70.92,73.84,75.36,78.34,80.83,83.66,86.99,86.57,88.02,89.09
Fiji,5.37,6.37,6.32,7.30,9.63,13.54,16.11,19.02,25.13,39.58,49.02,63.24,66.59,72.77,77.61,80.97
Finland,9.81,19.50,38.87,50.41,60.37,69.22,79.78,83.67,84.84,84.38,85.76,86.27,91.15,87.03,95.94,97.59
France,19.81,23.57,31.32,41.83,51.26,57.06,63.24,70.02,76.77,80.86,84.08,86.17,88.95,89.47,130.17,132.55
French Guiana,9.47,14.19,19.35,23.11,26.38,32.00,34.88,36.39,37.78,36.20,37.65,41.78,37.49,40.62,44.30,48.50
French Polynesia,6.38,10.29,13.01,19.98,30.36,38.32,44.85,50.78,56.39,62.09,70.95,78.71,82.99,87.13,90.08,91.96
Gabon,0.06,0.15,0.41,0.85,1.47,4.30,5.69,4.39,5.72,6.65,7.53,9.43,19.26,13.49,15.05,17.78
Gambia,0.00,0.02,0.17,1.17,1.62,1.57,1.77,3.32,4.90,5.80,10.44,15.52,23.27,25.56,29.22,33.80
Georgia,58.33,70.28,78.67,84.65,89.79,92.05,93.61,94.65,94.94,94.78,92.83,93.48,94.61,94.51,131.52,132.45
Germany,27.47,37.32,50.55,60.98,64.82,69.26,72.46,73.40,74.72,74.05,74.87,76.84,87.58,79.60,102.23,104.83
Ghana,1.68,2.34,2.81,4.83,6.56,9.03,8.92,8.31,7.60,9.68,14.13,18.19,22.48,26.33,31.07,35.90
Greece,12.21,16.05,17.32,24.13,32.37,44.65,53.89,62.89,72.11,78.18,82.06,85.30,89.03,90.00,124.93,126.67
Grenada,,,,,,,,,,,,,,,67.67,71.23
Guadeloupe,7.26,12.25,18.67,21.77,29.64,36.77,43.43,51.90,57.70,62.45,67.24,77.16,74.15,77.40,79.87,81.12
Guam,,,,,,,,,,,,,,,77.61,79.87
Guatemala,3.06,3.43,3.72,4.20,5.36,6.51,8.17,9.63,10.43,11.94,14.23,17.00,20.22,27.14,25.73,29.22
Guinea,0.03,0.16,0.26,0.46,0.81,1.66,2.40,1.75,1.39,1.45,2.20,3.93,8.82,9.62,12.04,15.58
Guinea-Bissau,0.00,0.00,0.00,0.03,0.12,1.10,1.76,2.59,3.63,4.93,6.42,7.98,11.38,9.08,11.36,13.05
Guyana,10.76,13.50,15.21,20.34,26.01,31.23,35.98,40.47,44.43,49.58,59.98,58.81,62.09,65.59,68.95,71.50
Haiti,1.87,2.09,2.39,2.87,3.59,4.59,5.98,7.54,9.66,12.36,19.81,16.64,17.89,21.69,26.32,30.85
Honduras,2.54,3.21,4.32,5.68,7.16,8.78,10.67,12.89,14.23,15.31,16.79,20.66,27.94,28.85,33.26,38.75
