country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Cote d'Ivoire,4.28,7.01,11.25,16.72,26.01,32.30,35.58,40.47,44.59,46.59,43.87,48.08,50.37,54.90,61.62,68.23
Croatia,92.26,92.62,96.28,98.26,99.05,99.16,99.17,99.35,99.49,99.52,99.50,99.51,99.49,99.53,107.53,108.39
Cuba,57.30,66.12,74.92,83.15,88.30,91.65,94.24,96.17,96.72,97.08,97.57,98.12,98.61,98.84,99.38,99.43
Curaçao,75.64,80.73,83.39,87.83,90.75,93.33,94.61,95.52,97.13,98.15,98.75,98.62,99.47,98.11,99.46,97.95
Cyprus,76.42,82.09,88.16,93.07,96.38,98.10,98.80,99.05,99.15,99.23,99.31,99.47,99.54,99.65,99.97,99.69
Czech Republic,99.35,99.49,99.54,99.59,99.59,99.44,99.45,99.44,99.45,99.49,99.41,99.48,99.42,99.61,110.00,110.64
Democratic People's Republic of Korea,91.99,97.83,99.03,99.81,99.97,99.98,99.99,99.98,99.98,99.99,99.99,99.97,99.98,99.98,99.98,99.97
Democratic Republic of the Congo,28.57,35.02,43.45,47.89,57.36,65.78,72.73,75.98,79.51,78.52,76.92,80.00,82.51,83.17,75.70,77.25
Denmark,99.93,99.95,99.95,99.95,99.94,99.91,99.88,99.89,99.89,99.91,99.94,99.98,99.99,100.00,105.66,106.46
Djibouti,,,,,,,,,,,,,,,39.42,44.20
Dominican Republic,18.57,22.51,27.46,33.98,41.63,49.92,57.36,63.78,66.48,67.73,71.32,75.14,80.42,81.48,85.95,88.26
Eastern Africa,11.10,13.81,17.29,22.06,27.63,32.40,37.95,43.75,47.89,50.02,51.78,54.09,54.93,54.69,56.73,60.13
Eastern Asia,55.81,67.01,75.21,82.94,86.02,88.22,91.90,95.02,95.35,95.89,96.39,97.15,98.27,98.27,98.85,99.09
Eastern Europe,97.02,98.22,98.93,99.35,99.62,99.67,99.66,99.65,99.61,99.60,99.52,99.51,99.49,99.56,99.63,99.54
Ecuador,32.85,36.13,41.32,48.82,56.77,64.95,71.73,77.09,80.45,82.36,83.71,85.69,87.65,89.07,90.46,91.62
Egypt,16.26,19.72,23.92,28.84,34.73,41.03,48.00,54.66,60.92,66.18,70.76,74.72,78.81,82.32,106.82,113.53
El Salvador,15.87,19.74,25.37,31.84,38.91,46.59,52.73,57.38,60.76,64.06,68.40,72.47,75.70,78.97,81.98,84.61
Equatorial Guinea,42.92,53.27,62.06,62.35,74.69,78.79,82.66,81.52,83.56,82.90,81.75,64.24,78.04,79.24,80.41,81.38
Eritrea,,,,,,,,,,,,,,,39.42,44.23
Estonia,98.68,99.06,99.39,99.62,99.73,99.78,99.79,99.77,99.73,99.66,99.58,99.65,99.59,99.75,115.10,115.75
Ethiopia,2.81,3.76,4.71,5.83,7.51,9.82,12.71,16.15,19.62,22.73,25.58,32.31,33.25,34.18,37.95,42.84
Europe,91.94,93.23,95.42,96.39,97.52,98.18,98.56,98.80,98.99,99.11,99.18,99.30,99.40,99.46,99.57,99.42
Fiji,45.85,56.75,62.62,72.75,81.71,85.71,90.77,94.15,95.80,96.21,97.28,97.58,98.51,98.99,99.20,99.23
Finland,99.92,99.92,99.93,99.95,99.97,99.97,100.00,100.00,100.00,100.00,99.99,100.00,99.99,99.99,101.30,101.70
France,96.65,96.16,95.87,96.17,97.31,98.08,98.38,98.51,98.75,98.90,98.97,99.20,99.30,99.51,129.44,130.60
French Guiana,60.85,65.84,70.13,72.81,75.37,77.40,78.84,79.93,80.72,81.58,84.83,84.12,85.51,91.26,93.29,93.99
French Polynesia,48.28,57.99,64.72,72.49,81.80,85.26,87.45,89.71,91.80,94.59,96.82,97.62,98.73,99.13,99.31,99.32
Gabon,6.53,14.30,25.51,39.64,57.36,70.26,77.03,79.50,80.75,81.14,81.37,83.51,85.15,83.26,81.19,81.49
Gambia,0.07,0.50,2.73,10.54,14.93,20.29,26.22,32.28,38.22,44.11,50.80,57.57,63.48,65.64,66.05,70.52
Georgia,91.96,95.70,97.87,98.92,99.37,99.49,99.52,99.52,99.49,99.51,99.43,99.45,99.34,99.47,124.46,124.99
Germany,100.01,99.99,100.00,99.99,99.99,100.00,100.00,100.00,99.99,100.00,99.99,100.00,99.99,99.99,113.19,114.26
Ghana,34.37,40.10,45.06,52.98,59.32,67.13,66.01,66.03,66.78,68.59,71.27,73.39,78.04,73.15,78.33,81.21
