Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,64.242,64.631,64.618,64.855,64.816,65.053,65.398,65.467,65.234,65.085,65.647,65.619,65.953,66.186,66.405,66.965,67.03,67.595,67.999,68.434,68.576,68.858,68.973,69.29,69.353,69.879,70.281,70.699,71.097,71.502,71.615,72.02,72.096,72.303,72.732,72.864,73.056,73.407,73.412,73.683,73.91,74.154,74.312,74.307,74.871,75.231,75.279,74.783,75.428,75.577,75.68,76.1,75.802,75.829,76.268,76.6,76.105,76.543,76.77,76.847,75.878,73.948,75.806
Armenia,59.063,59.494098,59.916683,60.328268,60.723829,61.099341,61.453829,61.784756,62.093634,62.379951,62.644707,62.888902,63.114488,63.330927,63.546756,63.767878,64.001488,64.253951,64.526195,64.820829,65.138561,65.482488,65.850927,66.229244,66.591366,66.915268,67.178,67.359073,52.600122,67.518561,67.549366,67.627049,67.718537,67.973195,68.271805,68.628488,69.006122,69.393829,69.799341,70.198951,72.880488,72.97561,72.826829,72.826829,73.026829,73.07561,72.82439,72.873171,73.073171,73.073171,73.173171,73.817073,74.119512,74.621951,74.873171,74.870732,74.868293,75.217073,75.619512,76.221951,73.37561,72.278049,74.765854
Aruba,64.049,64.215,64.602,64.944,65.303,65.615,66.126,66.385,66.744,67.098,67.44,67.783,68.335,68.862,69.278,69.564,69.808,70.054,70.271,70.507,70.771,71.344,71.485,71.606,71.711,71.792,71.831,72.448,72.519,72.531,72.546,72.592,72.717,72.777,72.796,72.832,72.856,72.904,72.94,72.857,72.939,73.044,73.135,73.236,73.223,73.415,73.498,73.642,73.783,73.974,74.297,74.578,74.841,75.072,75.261,75.405,75.54,75.62,75.88,76.019,75.406,73.655,76.226
Australia,70.817073,70.973171,70.942439,70.911707,70.880976,70.850244,70.819512,70.869268,70.919024,70.96878,71.018537,71.068293,71.457561,71.846829,72.236098,72.625366,73.014634,73.34439,73.674146,74.003902,74.333659,74.663415,74.904878,75.146341,75.387805,75.629268,75.870732,76.151707,76.432683,76.713659,76.994634,77.27561,77.378049,77.878049,77.878049,77.829268,78.078049,78.480488,78.631707,78.931707,79.234146,79.634146,79.936585,80.239024,80.490244,80.841463,81.041463,81.292683,81.395122,81.543902,81.695122,81.895122,82.046341,82.14878,82.3,82.4,82.44878,82.5,82.74878,82.9,83.2,83.3,83.2
Austria,68.58561,69.577317,69.309512,69.443659,69.921951,69.722195,70.045854,69.917805,70.057561,69.833171,69.914634,70.114634,70.463415,71.014634,71.012195,71.114634,71.565854,71.914634,72.012195,72.312195,72.463415,72.812195,72.960976,73.012195,73.612195,73.814634,74.317073,74.768293,75.217073,75.265854,75.568293,75.617073,75.817073,76.068293,76.419512,76.668293,76.870732,77.319512,77.670732,77.87561,78.126829,78.57561,78.678049,78.631707,79.180488,79.331707,79.880488,80.180488,80.431707,80.331707,80.580488,80.982927,80.936585,81.136585,81.490244,81.190244,81.641463,81.643902,81.692683,81.895122,81.192683,81.190244,81.295122
Azerbaijan,50.862,51.435,52.053,52.696,53.292,53.884,54.485,55.032,55.563,56.08,56.586,57.043,57.503,57.926,58.332,58.687,59.477,59.972,60.494,60.931,61.433,61.908,62.23,62.479,62.084,62.674,62.603,62.824,62.672,62.945,62.75,62.544,60.773,61.426,60.277,61.931,62.66,62.953,63.75,64.733,65.377,66.043,66.769,67.036,67.488,67.71,68.489,68.659,69.355,69.874,70.309,70.565,71.08,71.485,71.93,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125
"Bahamas, The",62.454,62.813,63.187,63.532,63.897,64.272,64.589,65.03,65.399,65.773,66.163,66.526,66.781,67.147,67.585,68.14,68.529,68.762,68.873,68.96,69.091,69.368,69.682,70.003,70.192,70.289,70.316,70.383,70.508,70.719,70.945,71.183,71.298,71.42,71.429,71.422,71.464,71.597,71.84,72.147,72.481,72.765,73.023,73.213,73.235,73.413,73.456,73.463,73.445,73.455,73.449,73.571,73.707,73.93,74.029,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491
Bahrain,50.634,52.278,53.893,55.449,56.946,58.379,59.745,61.036,62.253,63.35,64.359,65.279,66.095,66.922,67.633,68.276,68.858,69.383,69.85,70.296,70.684,71.037,71.354,71.637,71.884,72.092,72.257,72.377,72.46,72.524,72.587,72.668,72.785,72.939,73.134,73.361,73.61,73.872,74.138,74.405,74.673,74.942,75.209,75.486,75.787,76.125,76.51,76.952,77.457,78.016,78.593,79.141,79.622,79.998,80.214,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992
Bangladesh,43.98,44.887,45.765,45.722,46.752,46.046,47.644,48.066,48.4,48.686,42.667,26.522,49.647,49.914,49.589,50.627,50.951,51.265,51.596,51.959,52.278,52.638,53.012,53.441,53.826,53.937,54.592,54.899,55.174,55.514,55.822,53.781,56.592,57.073,57.64,58.244,58.94,59.671,60.429,61.244,62.049,62.836,63.591,64.288,64.912,65.509,66.048,66.458,67.047,67.527,68.009,68.499,68.989,69.487,70.016,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265
Barbados,64.149,65.033,65.715,66.204,66.678,67.236,67.71,67.92,68.2,68.504,68.518,68.787,69.132,69.108,69.379,69.79,70.114,70.64,71.143,71.549,72.129,72.63,72.903,73.156,73.302,73.316,73.416,73.463,73.431,73.375,73.463,73.543,73.61,73.739,73.755,73.88,74.065,73.988,74.465,74.587,74.58,74.707,74.82,74.865,75.15,74.96,75.049,75.263,75.3,75.458,75.488,75.599,75.737,75.816,75.926,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676
