Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,1.386157,1.36753,1.369198,1.380703,1.398417,1.470539,1.535236,1.541977,1.607814,1.581004,1.573825,1.557005,1.543119,1.58189,1.571563,1.590739,1.575569,1.609923,1.593722,1.609676,1.640003,1.662496,1.727805,1.790208,1.745395,1.787083,1.732711,1.841643,1.818896,1.56653,1.62232,1.587375,1.502462,1.466902,1.44656,1.46902,1.383188,1.416548,1.398521,1.475474,1.522,1.616636,1.610005,1.812178,1.823645,1.835568,1.865475,1.682892,1.741916,1.724387,1.665072,1.800578,1.70754
Comoros,0.089686,0.086951,0.083821,0.083699,0.087386,0.087941,0.088056,0.088107,0.086878,0.097013,0.092384,0.086072,0.077841,0.082781,0.077853,0.075447,0.042573,0.122552,0.10956,0.098591,0.088395,0.104707,0.087076,0.083389,0.081719,0.082554,0.08395,0.082123,0.102401,0.104776,0.168072,0.177442,0.179631,0.228853,0.241431,0.228961,0.267382,0.173602,0.169393,0.206715,0.238075,0.210761,0.213312,0.250793,0.217146,0.235591,0.270175,0.344536,0.268666,0.287321,0.334969,0.485471,0.515232
"Congo, Dem. Rep.",0.145386,0.142924,0.143169,0.140239,0.143442,0.1373,0.131294,0.132527,0.129382,0.138182,0.132544,0.137667,0.107452,0.136081,0.12856,0.116195,0.105414,0.112154,0.112792,0.103875,0.091879,0.049984,0.041533,0.038643,0.058273,0.052129,0.056535,0.055785,0.054053,0.0483,0.037173,0.035011,0.035624,0.041909,0.038866,0.04225,0.042103,0.045123,0.044924,0.042319,0.042962,0.047552,0.041177,0.043942,0.047399,0.044335,0.035621,0.037375,0.046219,0.047832,0.048249,0.046674,0.061013
"Congo, Rep.",1.290248,1.43341,1.330806,5.84144,8.142762,4.895478,4.616593,1.44615,0.874898,0.776562,0.996837,1.095328,1.243333,1.255947,1.208985,1.192875,1.128595,1.119547,1.075433,1.046008,1.001655,0.993374,0.941787,0.902423,0.802089,0.992995,1.162593,1.17194,1.363996,1.374604,1.431738,1.344186,0.853386,1.035071,1.015242,1.171575,1.255456,1.071417,1.077472,1.148365,1.185849,1.052427,0.944931,1.119845,1.060536,1.128104,1.070438,1.033674,1.171231,1.288915,1.286854,1.206344,1.384931
Costa Rica,0.780011,0.766466,0.836993,0.921823,0.882066,0.94241,0.944978,1.159805,1.220264,1.184703,1.042276,0.939252,0.781407,0.771708,0.779429,0.799411,0.811972,0.83372,0.860213,0.947459,0.934233,0.984893,1.292012,1.266573,1.450108,1.405192,1.311159,1.264496,1.369237,1.338442,1.303134,1.379963,1.385355,1.466324,1.471449,1.491608,1.597977,1.761019,1.718514,1.626476,1.588292,1.669995,1.637973,1.682581,1.687854,1.610157,1.691494,1.708874,1.702463,1.638747,1.425297,1.591526,1.61316
Cote d'Ivoire,0.483372,0.472069,0.501699,0.493117,0.483962,0.502177,0.550967,0.526772,0.587008,0.526798,0.481722,0.423615,0.38679,0.437357,0.37455,0.329904,0.331302,0.311073,0.302718,0.279801,0.243819,0.24163,0.231214,0.235754,0.236897,0.249267,0.299962,0.351402,0.327935,0.423863,0.393649,0.384346,0.396006,0.304012,0.305981,0.318684,0.30558,0.296469,0.321575,0.29145,0.325279,0.307998,0.384377,0.409402,0.426425,0.446203,0.438775,0.461221,0.449429,0.467605,0.45955,0.580322,0.605702
Croatia,3.598865,3.636245,3.548135,3.875655,4.155826,4.368626,4.280287,4.350848,4.666034,4.88276,4.525301,4.908784,5.13867,5.925632,5.957223,6.09512,6.604439,6.415788,7.028485,6.705445,5.028627,3.783156,3.58148,3.618505,3.43386,3.57173,3.775276,4.03769,4.198352,4.418321,4.33677,4.777933,4.964699,5.286217,5.279956,5.301608,5.343482,5.685491,5.41153,5.03419,4.875068,4.778301,4.40976,4.341436,4.207233,4.341448,4.449767,4.651128,4.454024,4.550627,4.392078,4.513221,4.573714
Cuba,2.481352,2.458369,2.378086,2.526826,2.705868,2.751134,2.875144,3.109674,3.311735,3.336179,3.407312,3.417271,3.376463,3.607267,3.775536,3.484888,3.517545,3.797659,3.923227,3.960774,3.636732,2.810992,2.217462,2.017723,2.067156,2.191662,2.365807,2.580776,2.525032,2.586877,2.610101,2.496677,2.376694,2.301438,2.252634,2.32679,2.375332,2.446233,2.361766,2.385407,2.49451,2.455225,2.555795,2.568762,2.384028,2.611169,2.423685,2.356819,2.385465,1.989852,1.653643,1.956022,1.786982
Cyprus,3.348696,3.34057,4.029873,4.162856,3.200584,3.28205,3.97579,4.188871,4.320274,4.573839,4.787901,4.546279,4.54503,4.455866,4.453147,4.303431,4.707545,5.379015,5.370154,5.597361,5.884688,6.46178,6.775049,6.957341,7.093091,6.793826,7.069943,7.032559,7.235377,7.385684,7.5268,7.258898,7.311705,7.847317,7.652315,7.630162,7.59803,7.745681,7.785516,7.470359,7.017191,6.678715,6.111394,5.440263,5.67257,5.622131,5.837709,5.870483,5.677021,5.608893,5.223587,5.252526,5.425314
Czechia,19.100491,19.187621,19.101361,18.799194,16.996896,17.602067,18.018694,18.940958,18.627014,19.482866,18.780859,18.850831,19.016928,19.063584,19.299147,19.03399,18.835614,18.81128,18.409002,17.671248,16.016057,14.566228,13.991383,13.538002,13.002542,12.935831,13.320028,13.005891,12.430917,11.64129,12.902573,12.942382,12.494278,12.818072,12.899009,12.637878,12.773954,12.849666,12.14498,11.462403,11.551448,11.253602,10.848762,10.417535,10.188652,10.268442,10.392897,10.41875,10.286504,9.724566,8.867158,9.472431,9.153647
Denmark,12.571953,11.624629,11.968537,11.707214,10.384067,10.805749,11.904181,12.202474,12.152525,12.791312,12.6639,10.653487,11.109146,10.424874,10.750527,12.270882,12.377732,11.978742,11.208523,10.094311,10.198798,12.23994,11.098278,11.508803,12.234479,11.578116,14.063625,12.157334,11.359919,10.762695,9.953787,10.21551,10.09321,11.073162,10.013058,9.34585,10.777427,9.863574,9.21101,8.764814,8.753204,7.806182,6.902638,7.18356,6.413991,5.994775,6.22876,5.818875,5.788748,5.17324,4.765216,5.047882,4.827041
Djibouti,4.90167,4.586943,4.258493,4.105935,4.108238,3.916478,3.694683,3.467616,3.203574,3.403467,3.12171,2.26966,2.023369,1.606265,1.243578,1.181811,1.043531,1.414616,1.190862,2.344489,1.681857,1.948527,1.677928,1.680925,1.686905,1.701381,1.720681,1.663548,1.635657,1.648123,0.981644,0.97885,0.984069,1.016448,0.958089,0.898629,0.845443,0.857834,0.903853,0.798989,0.872453,0.661109,0.82338,0.88889,0.881106,0.800049,0.718448,0.641424,0.68627,0.765678,0.674908,0.73106,0.762293
Dominica,0.110292,0.109302,0.131316,0.131756,0.116752,0.139723,0.126359,0.13811,0.137506,0.135693,0.134094,0.194558,0.182974,0.181027,0.201232,0.202107,0.175055,0.260479,0.301666,0.310749,0.305916,0.30882,0.311576,0.558812,0.736935,0.84786,0.930702,0.89756,0.52225,0.898795,0.791114,0.79809,0.719645,0.817148,0.871098,0.856927,0.908351,1.098087,1.068928,1.089103,1.122584,0.861657,0.785613,0.859213,0.950649,1.028263,1.116283,1.010278,1.048787,1.269888,1.140988,1.136871,1.215096
Dominican Republic,0.882802,0.869075,1.087947,1.057102,1.099834,1.110729,1.11055,1.169761,1.162571,1.197544,1.20296,1.116393,1.061541,1.201302,1.234974,1.061038,1.161141,1.306396,1.283816,1.338918,1.121314,1.149667,1.308336,1.26676,1.452576,1.515964,1.602113,1.791688,2.020875,2.15563,2.214979,2.195835,2.374395,2.092595,1.913861,2.036849,2.203083,2.194929,2.164433,2.046473,2.131092,2.124292,2.173188,2.107539,2.103722,2.287896,2.357159,2.230154,2.376968,2.612575,2.445973,2.667161,2.859368
Early-demographic dividend,0.948374,0.936262,0.982286,1.048396,1.066502,1.072931,1.138697,1.16633,1.16326,1.19266,1.221907,1.227195,1.257893,1.255128,1.247633,1.257547,1.267619,1.313207,1.317811,1.336137,1.383457,1.402914,1.411951,1.427794,1.479233,1.5115,1.55414,1.589013,1.608559,1.62516,1.653225,1.651838,1.673726,1.714506,1.779605,1.825886,1.892534,1.970424,2.013536,2.020766,2.090185,2.135728,2.214171,2.200962,2.271801,2.270423,2.275728,2.340419,2.349142,2.345511,2.206698,2.337987,2.419441
East Asia & Pacific,1.753078,1.711247,1.759114,1.863694,1.853578,1.905576,1.948985,2.083915,2.194033,2.231729,2.172836,2.127022,2.12391,2.159282,2.285001,2.272406,2.319402,2.387269,2.521117,2.573836,2.645301,2.725613,2.784169,2.899992,3.008991,3.19571,3.192818,3.238625,3.186872,3.181606,3.294582,3.375331,3.541313,3.857383,4.210501,4.553078,4.852284,5.14666,5.199429,5.399669,5.81655,6.21927,6.341315,6.515422,6.522251,6.426898,6.410155,6.507283,6.732661,6.846465,6.803233,7.056882,7.064184
East Asia & Pacific (IDA & IBRD countries),0.952904,0.931807,0.957323,0.98028,0.978303,1.089729,1.112885,1.236507,1.371341,1.391561,1.345387,1.3165,1.348449,1.39443,1.482689,1.482216,1.546714,1.626068,1.716705,1.753648,1.787277,1.866173,1.928733,2.060454,2.153572,2.352603,2.338405,2.394699,2.40606,2.357256,2.45789,2.554382,2.720627,3.075003,3.467813,3.853997,4.201576,4.513898,4.60775,4.869579,5.282802,5.705295,5.831873,6.035244,6.080455,5.996708,5.978449,6.070978,6.350781,6.509825,6.526887,6.798045,6.836828
East Asia & Pacific (excluding high income),1.006241,0.983991,1.010105,1.032685,1.031895,1.143544,1.169381,1.294249,1.430192,1.455184,1.412754,1.385193,1.419265,1.46631,1.555,1.556388,1.617277,1.690635,1.780899,1.816572,1.844825,1.918363,1.970208,2.094301,2.179557,2.372109,2.351847,2.405422,2.408625,2.363267,2.46536,2.561762,2.724371,3.074616,3.463033,3.84562,4.189367,4.490823,4.586717,4.843285,5.249907,5.657742,5.781314,5.977623,6.024466,5.937499,5.921205,6.030631,6.303496,6.463825,6.47852,6.74065,6.779929
Ecuador,0.81566,0.70848,0.686442,0.843078,1.000047,1.053405,1.173051,1.325965,1.449827,1.529085,1.566947,1.679904,1.647185,1.508164,1.542792,1.617469,1.649958,1.48205,1.625593,1.595346,1.676289,1.643933,1.695634,1.621011,1.666714,1.794976,2.029464,2.076771,2.002288,1.74102,1.738675,1.883478,1.849347,1.865123,1.966815,2.084736,2.199128,2.209114,2.241423,2.38705,2.537221,2.500211,2.482694,2.603781,2.710263,2.660476,2.548788,2.449838,2.47599,2.41784,2.085858,2.327771,2.478094
"Egypt, Arab Rep.",0.735245,0.710206,0.754183,0.686251,0.77519,0.816261,0.921726,0.928637,0.917663,0.971962,1.040093,1.144418,1.202988,1.300989,1.389884,1.415726,1.436503,1.514155,1.511769,1.562023,1.56708,1.560614,1.585068,1.554266,1.450208,1.519076,1.595211,1.662671,1.717478,1.809382,1.750273,1.891485,1.901418,1.899147,2.018407,2.199566,2.283862,2.396376,2.352835,2.403869,2.37408,2.407871,2.500582,2.399511,2.390123,2.403818,2.460761,2.523786,2.424432,2.203839,2.252058,2.357952,2.299748
El Salvador,0.436737,0.428873,0.482189,0.513374,0.510836,0.561104,0.558035,0.562115,0.586876,0.536271,0.445381,0.441408,0.407682,0.413798,0.396561,0.42499,0.413218,0.484345,0.469588,0.459296,0.480506,0.60223,0.666874,0.714793,0.821333,0.890868,0.787179,0.958529,0.99781,0.985187,0.975676,1.011434,1.011237,1.096839,1.137331,1.171011,1.231041,1.294314,1.176008,1.140572,1.108178,1.153227,1.144542,1.080823,1.10572,1.174851,1.181831,1.067364,1.141868,1.302859,1.067177,1.204006,1.347989
Equatorial Guinea,0.129675,0.131671,0.154782,0.095606,0.119341,0.132684,0.136284,0.138378,0.265431,0.251567,0.222419,0.274359,0.198625,0.122008,0.123322,0.109455,0.119586,0.121887,0.131695,0.168999,0.149913,0.150543,0.145075,0.145654,2.202538,2.253424,2.372231,3.138632,3.669985,3.856034,3.902576,4.80185,4.02553,4.234887,6.97831,6.751027,6.448574,6.888124,6.091763,4.823395,4.806973,4.800074,4.337127,4.251392,4.084716,3.718835,3.573366,3.127888,3.28825,3.06698,2.860583,2.860382,2.821554
Eritrea,0.274799,0.266347,0.245716,0.241757,0.230576,0.214244,0.203628,0.167952,0.169932,0.183454,0.187508,0.205765,0.187324,0.185755,0.182759,0.184311,0.157926,0.157042,0.157668,0.157523,0.161949,0.197023,0.273023,0.368318,0.402735,0.411798,0.430921,0.399046,0.293246,0.306989,0.298305,0.318025,0.303221,0.280845,0.276105,0.227039,0.200999,0.19324,0.164434,0.166523,0.175473,0.205637,0.208858,0.193081,0.192429,0.18599,0.191122,0.186043,0.205183,0.207889,0.204025,0.212496,0.219948
Estonia,15.696696,15.522657,16.6907,18.886078,20.855695,22.499356,23.455587,24.233439,25.677652,26.5576,27.390116,27.913792,27.82482,27.459511,26.600848,25.884021,25.032821,24.435438,23.052116,20.889645,25.516673,23.394461,17.353634,14.652158,15.424604,14.340813,15.276908,15.133526,13.712093,12.530246,12.757116,13.146173,12.700765,14.265787,14.711827,14.813456,14.428539,17.18061,15.6166,13.067594,16.684955,16.826084,16.050627,17.933728,17.307433,15.981518,15.646722,16.672967,17.888965,11.65342,9.125761,9.711691,11.13416
Eswatini,0.582481,0.5671,0.565493,0.576155,0.585613,0.643327,0.612042,0.592766,1.083722,1.050418,1.036632,0.943892,0.92229,0.668784,0.734155,0.813938,0.863308,0.871158,0.887224,0.887921,1.267497,1.200741,0.967972,0.844626,1.50307,1.460997,1.147154,1.148977,1.155981,1.227612,1.053952,1.057976,1.021765,0.941877,0.926703,0.918332,0.921124,0.946544,0.92251,0.949461,0.769667,0.733025,0.721618,0.851954,0.865001,0.858321,0.910738,0.916771,0.90861,0.962899,0.80538,0.819829,0.883161
Ethiopia,0.041967,0.040965,0.037035,0.039384,0.03885,0.033729,0.032744,0.034269,0.034766,0.035588,0.036415,0.038605,0.034072,0.035378,0.032084,0.032436,0.039554,0.04476,0.044948,0.045617,0.045946,0.043564,0.032709,0.040198,0.04489,0.049123,0.053596,0.054284,0.055898,0.053478,0.057507,0.0689,0.068705,0.071252,0.075337,0.069836,0.071815,0.076427,0.080247,0.078514,0.076002,0.085437,0.093802,0.106072,0.122678,0.130068,0.15022,0.144744,0.155059,0.159693,0.151498,0.156331,0.14623
Euro area,8.877386,8.868561,9.214367,9.690723,9.479157,8.984006,9.597038,9.368019,9.648035,10.005966,9.707373,9.279517,8.92851,8.867114,8.90253,8.86638,8.826178,8.875291,8.890048,9.005184,8.917831,8.912177,8.554068,8.336439,8.312359,8.440682,8.596774,8.494376,8.623926,8.538291,8.588209,8.692168,8.667223,8.814478,8.818003,8.733982,8.647531,8.513727,8.275561,7.617388,7.837,7.580471,7.458956,7.274483,6.901781,7.032139,7.00636,7.008176,6.811573,6.481067,5.810246,6.184014,6.042716
Europe & Central Asia,8.943748,8.892059,9.177026,9.612846,9.564498,9.540577,9.958547,9.968025,10.322715,10.554485,10.435385,10.082528,9.90982,9.874121,9.889119,9.944289,10.035233,10.1694,10.175117,10.119763,10.300786,10.064955,9.429807,8.885887,8.417018,8.356155,8.341789,8.052089,8.051185,8.002983,8.076735,8.116162,8.097387,8.358278,8.353075,8.314207,8.427742,8.409859,8.275161,7.622895,7.922802,7.922289,7.817945,7.611273,7.272167,7.225725,7.200801,7.26693,7.247143,7.041368,6.616717,7.092244,6.855069
Europe & Central Asia (IDA & IBRD countries),8.113177,8.069052,8.406219,8.833048,9.14805,9.552454,9.835625,9.989767,10.511282,10.568316,10.778024,10.515806,10.503377,10.523042,10.547625,10.58862,10.771836,11.003415,11.049548,10.92938,11.389953,10.917483,9.996285,9.130234,8.233907,8.047115,7.805281,7.407524,7.324335,7.331324,7.433554,7.405124,7.445603,7.796486,7.804373,7.827838,8.111953,8.238476,8.222742,7.595834,7.975584,8.325144,8.198953,7.97116,7.699536,7.543695,7.572673,7.741328,7.885367,7.787962,7.575946,8.183961,7.893425
Europe & Central Asia (excluding high income),6.559389,6.47498,6.763387,7.088916,7.319893,7.605038,7.742369,7.826217,8.115167,8.154871,8.321435,8.117231,7.999187,7.917474,7.843856,7.78643,7.855272,8.027714,7.991849,7.903187,8.546878,8.100694,7.244418,6.419741,5.589637,5.388392,4.985393,4.848749,4.8643,4.787165,4.919556,4.779076,4.920474,5.20227,5.204317,5.235367,5.518507,5.737156,5.828204,5.266231,5.559007,5.840049,5.750967,5.664186,5.276855,4.941847,5.092545,5.23354,5.252581,5.061468,5.071891,5.390139,5.055706
European Union,9.074892,9.055544,9.366187,9.795629,9.587914,9.30784,9.909173,9.812362,10.128421,10.441218,10.193583,9.714244,9.45213,9.377812,9.433857,9.446448,9.4393,9.516407,9.467818,9.450418,9.049445,8.901835,8.537127,8.354877,8.309194,8.415315,8.635374,8.455124,8.425886,8.260547,8.290815,8.401208,8.35754,8.556073,8.539691,8.457721,8.466381,8.351849,8.122323,7.479362,7.712172,7.505853,7.346212,7.149126,6.822686,6.944795,6.948717,6.99426,6.830421,6.507753,5.904186,6.315857,6.146349
Faroe Islands,0.023518,0.023254,0.025528,0.02523,0.027427,0.027115,0.029254,0.028938,0.028593,0.030573,0.030182,0.029799,0.031695,0.031341,0.031014,0.03063,0.032516,0.032119,0.033787,0.033363,0.033515,0.033722,0.033836,0.034428,0.035798,0.036688,0.039008,0.038521,0.038053,0.037656,0.039341,0.038598,0.038027,0.039557,0.039269,0.039289,0.041378,0.041341,0.041197,0.040991,0.041104,0.041201,0.041416,0.041454,0.041298,0.040901,0.040433,0.039857,0.04118,0.040547,0.039951,0.039403,0.038952
Fiji,1.339827,1.33168,1.396914,1.636559,1.950699,1.597483,1.545939,1.604871,1.56529,1.636724,1.714709,1.709125,1.624855,1.312053,1.067756,1.167512,1.174615,1.050444,1.02531,1.175226,1.303736,1.136399,1.264284,1.357847,1.412357,1.392933,1.44839,1.480781,1.449788,1.53361,1.716357,1.840404,1.507839,1.760735,2.263354,1.961515,2.089929,1.920292,1.429822,1.172238,1.863428,1.364091,1.317277,1.498442,1.700006,1.760547,1.732549,1.676827,1.804335,1.769594,1.174146,1.464693,1.560002
Finland,9.025017,8.886361,9.559478,10.378195,9.511139,9.501384,10.793108,10.694693,12.020992,11.941071,12.014223,10.002992,9.585362,9.201825,9.428074,10.293447,10.2815,11.197592,10.890995,10.856018,11.27584,11.351007,10.728736,10.928526,12.203034,11.502157,12.671631,12.207298,11.553803,11.402245,11.113906,12.254376,12.638316,14.213543,13.475972,11.102809,13.264726,12.870581,11.259817,10.691549,12.277192,10.805375,9.665124,9.805401,9.052731,8.390463,8.881603,8.364944,8.601031,7.994268,7.138745,7.094799,6.681622
Fragile and conflict affected situations,2.233053,2.196688,2.250604,2.387104,2.4632,2.414582,2.498527,2.4323,2.523615,2.657194,2.633511,2.467814,2.419431,2.386541,2.368921,2.335941,2.345009,2.358257,2.339969,2.310478,2.421107,2.276155,2.099975,1.943443,1.760672,1.734786,1.626424,1.594874,1.477495,1.409747,1.426691,1.435475,1.386053,1.407441,1.359179,1.343831,1.305354,1.273411,1.27093,1.167472,1.231513,1.21869,1.235758,1.218631,1.14849,1.036722,1.026299,0.998297,1.008974,0.979214,0.863543,0.879987,0.820161
France,9.022091,9.168139,9.419326,10.02974,9.614874,8.819001,9.620645,9.234978,9.522252,9.61738,9.168611,8.208973,7.801861,7.418943,7.17761,6.960713,6.712632,6.556983,6.520377,6.732059,6.607899,7.002719,6.740126,6.378228,6.281924,6.41153,6.634179,6.472432,6.813534,6.675002,6.580348,6.599674,6.464367,6.497676,6.466683,6.453914,6.240217,6.09003,5.942902,5.717173,5.801948,5.56604,5.559498,5.457121,4.930489,4.991163,5.017275,5.061551,4.892171,4.79214,4.246776,4.668209,4.512468
French Polynesia,1.240242,1.199712,1.237222,1.44086,1.712065,1.371927,1.31196,1.34422,1.293412,1.346581,1.404094,2.059366,2.561718,3.271616,4.255705,3.970429,4.249498,4.717798,4.560614,4.330229,4.154562,4.226356,4.286747,4.259847,3.409101,3.17759,3.093721,3.202675,3.242289,3.186458,2.952937,3.399468,3.54273,3.712491,3.45506,3.627262,3.364068,3.559177,3.613919,3.466293,3.657698,3.522285,3.385771,3.617396,3.558416,3.61973,3.610241,3.144737,2.79792,2.813277,2.560806,2.287414,3.301971
Gabon,1.013349,1.835956,1.93845,6.081278,6.110167,7.697709,8.726322,8.421664,9.133421,8.77395,8.220324,8.427026,8.182459,7.313642,8.230704,9.151934,6.390903,5.300399,5.327705,6.538973,6.273342,4.881393,4.78842,4.766482,4.609581,5.048909,5.497324,5.120197,5.713621,5.301943,5.177207,5.147416,4.811487,5.311462,4.660353,4.367422,3.78377,3.325715,3.434038,3.279516,3.464313,3.266021,3.189147,3.176954,3.167763,3.15597,3.122878,2.665353,2.445806,2.492739,2.380455,2.257184,2.296948
"Gambia, The",0.151306,0.147018,0.142067,0.142834,0.149724,0.150951,0.151838,0.152376,0.149752,0.167155,0.158563,0.14666,0.131505,0.138825,0.14062,0.134711,0.121698,0.199551,0.175847,0.155632,0.116242,0.139551,0.113741,0.114864,0.127686,0.118404,0.119102,0.115021,0.12186,0.123677,0.182945,0.199463,0.201668,0.200049,0.201565,0.199036,0.214426,0.219337,0.215089,0.232016,0.228793,0.233695,0.217513,0.212138,0.223513,0.228812,0.224979,0.223552,0.191821,0.189267,0.167744,0.185403,0.187713
Georgia,5.808903,5.6822,5.975483,6.280212,6.525786,6.943403,7.008544,7.030397,7.170589,7.363482,7.499026,7.526673,7.37413,7.183705,7.060858,6.905295,6.783611,6.814251,6.645876,6.381571,7.18257,5.503112,4.293506,3.41058,2.25867,1.829843,1.536234,1.391177,1.293122,1.175986,1.278497,0.966228,0.903226,1.001054,1.098046,1.275936,1.464199,1.708712,1.476179,1.696536,1.666995,2.019145,2.218847,2.461032,2.645686,2.858043,2.957796,2.996483,2.988556,3.204888,3.100048,3.328255,3.626395
Germany,13.868858,13.752573,14.041876,14.662004,14.210445,13.476297,14.330258,14.087676,14.584818,15.220308,14.500458,14.023688,13.451609,13.685561,13.940834,13.979532,13.894127,13.770749,13.636521,13.338618,12.749125,12.394338,11.631599,11.451071,11.238556,11.147099,11.467455,11.062168,11.049801,10.604888,10.599303,10.752584,10.546203,10.636963,10.463265,10.20679,10.384621,10.047813,10.107297,9.378644,9.965671,9.817767,9.947453,10.14086,9.616308,9.608849,9.584234,9.369765,9.006578,8.38218,7.721033,8.061281,7.911829
Ghana,0.262676,0.259833,0.264489,0.262573,0.271846,0.281136,0.27937,0.279989,0.264152,0.227209,0.223013,0.258466,0.216185,0.132534,0.149649,0.171376,0.181795,0.189438,0.194212,0.211337,0.203389,0.18388,0.21176,0.213135,0.221483,0.232444,0.246522,0.253161,0.335514,0.357324,0.30642,0.322486,0.370503,0.33847,0.307148,0.316525,0.375019,0.385855,0.35676,0.398915,0.43682,0.459558,0.541462,0.562243,0.529043,0.543998,0.546382,0.578922,0.621997,0.648666,0.719579,0.753155,0.717599
Gibraltar,2.609447,2.572169,2.18395,2.178887,2.161773,2.253944,2.221511,2.09894,1.975673,2.757655,3.278117,3.048017,3.393012,3.069641,2.964075,3.198653,4.133719,4.577164,5.169008,4.992013,5.286765,7.54703,8.966441,9.017362,10.580418,10.296965,10.484957,10.78602,11.327306,11.76152,12.313689,12.655024,12.798678,12.820966,13.714087,13.932037,14.361019,14.057189,14.174859,15.303507,15.194572,14.504106,14.630491,15.422594,16.374608,17.690477,18.191812,18.975033,19.78826,20.211867,17.676167,17.407347,16.902869
Greece,3.291862,3.396442,4.141865,4.410855,4.306729,4.487782,4.957603,5.132224,5.343639,5.582453,5.539505,5.457209,5.540041,5.861774,5.966329,6.286804,6.225221,6.72338,7.148005,7.574757,7.640678,7.552059,7.699272,7.608991,7.725026,7.977606,7.941511,7.991683,8.269682,8.261168,8.890247,9.033328,8.997221,9.319605,9.273299,9.432678,9.290675,9.594656,9.192766,8.662794,8.011453,7.75736,7.383877,6.737444,6.519079,6.418349,6.325295,6.358525,6.199239,5.735413,4.894155,5.082226,5.280926
Greenland,0.017241,0.016949,0.016563,0.018367,0.018182,0.018145,0.018109,0.018219,0.018293,0.018145,0.017928,0.019608,0.019417,0.019194,0.018975,0.018797,0.020561,0.020333,0.020073,0.019892,0.019784,0.021622,0.0217,0.021739,0.021622,0.021505,0.023256,0.023214,0.023173,0.023173,0.023138,0.024832,0.024737,0.024669,10.61373,10.728023,11.001321,10.879675,11.225323,9.772207,11.370149,12.003867,9.486006,9.514367,8.540723,9.245465,9.182003,8.95642,9.073059,9.317919,9.358312,9.679982,10.419866
Grenada,0.115837,0.115562,0.139709,0.140818,0.125906,0.151846,0.139299,0.153581,0.154717,0.15499,0.154435,0.202016,0.188593,0.183258,0.202098,0.20185,0.240727,0.314788,0.346869,0.353104,0.509219,0.50698,0.520659,0.581157,0.673854,0.601719,0.637765,0.863305,0.74805,0.752387,0.534197,0.53988,0.584849,0.639212,0.607374,0.649753,0.738185,0.818841,0.891827,0.955471,1.06465,0.819957,0.843272,1.0803,0.963796,1.021138,1.108312,1.10882,1.240373,1.555427,1.320257,1.378034,1.448941
Guam,0.001132,0.002211,0.002159,0.00211,0.002063,0.002019,0.001977,0.001936,0.001897,0.001858,0.001816,0.001771,0.001728,0.001688,0.001649,0.001611,0.001575,0.00154,0.001506,0.001473,0.001443,0.001418,0.001395,0.001373,0.001353,0.001333,0.001314,0.001297,0.00192,0.001895,0.001874,0.00186,0.001848,0.001839,0.001831,0.001825,0.001213,0.001815,0.001811,0.001805,0.001802,0.001801,0.001804,0.001808,0.001209,0.001213,0.001827,0.001835,0.001844,0.002472,0.002467,0.001832,0.001816
Guatemala,0.463798,0.451759,0.482928,0.499706,0.505401,0.542364,0.526156,0.590017,0.636452,0.691965,0.676834,0.57052,0.509624,0.422419,0.460981,0.47091,0.397804,0.432689,0.413521,0.42852,0.434282,0.446898,0.510204,0.550934,0.579795,0.658819,0.630149,0.64214,0.781209,0.756835,0.827444,0.84969,0.868651,0.84843,0.84605,0.898994,0.892331,0.930213,0.829649,0.858176,0.812345,0.820889,0.833631,0.879639,0.92692,1.061725,1.107878,1.029573,1.112433,1.149627,1.015058,1.148082,1.061852
Guinea,0.107398,0.106126,0.104868,0.106672,0.112149,0.113991,0.116373,0.118722,0.119294,0.133386,0.128858,0.119787,0.111669,0.120564,0.114688,0.105002,0.128176,0.181723,0.16615,0.145822,0.147178,0.137819,0.119432,0.119315,0.11767,0.116625,0.117271,0.115466,0.117768,0.120494,0.173227,0.184474,0.195756,0.202722,0.20197,0.189523,0.19666,0.20076,0.208307,0.215694,0.241466,0.248996,0.229921,0.202817,0.20687,0.243672,0.267497,0.264023,0.294496,0.369332,0.40336,0.370351,0.371451
Guinea-Bissau,0.075633,0.075398,0.075006,0.076753,0.080054,0.078345,0.07606,0.073741,0.070103,0.077939,0.075726,0.07146,0.065429,0.070378,0.088623,0.097583,0.086063,0.197333,0.205401,0.188977,0.17357,0.213846,0.18558,0.19287,0.18635,0.186794,0.180668,0.184635,0.185436,0.189802,0.162868,0.167688,0.173194,0.20056,0.199842,0.199264,0.204267,0.211787,0.195961,0.202506,0.200339,0.198001,0.193894,0.194284,0.195966,0.202916,0.206781,0.163339,0.183439,0.181227,0.167043,0.163199,0.163332
