Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,0.430874,0.493357,0.682206,0.763306,0.747228,0.988078,0.969709,1.148856,1.226691,1.285668,1.333689,1.372125,1.338207,1.359517,1.570722,1.689671,1.900519,2.178874,2.410207,3.269196,3.203034,3.435717,3.634519,3.414535,3.683227,3.939603,2.490936,3.974461,3.97056,3.969484,2.968384,2.973567,3.225666,3.67666,3.67256,3.946331,4.267391,4.574139,4.503701,4.855124,4.740863,2.833582,3.605802,3.906317,4.129879,4.286138,4.464392,4.295765,4.272413,4.665623,4.500539,4.711235,4.990215
Australia,12.848317,12.555036,12.770251,13.276158,13.638614,13.957475,14.016981,14.795674,14.368652,14.617748,15.132814,14.962636,15.119545,14.165082,14.367397,15.070528,14.882806,15.346116,15.629297,16.305294,16.27383,16.184692,16.19793,16.276282,16.421225,16.811779,17.156763,17.498537,18.386084,18.505508,18.597892,18.699533,18.909327,18.667669,19.163409,19.037804,19.079329,19.238922,19.02812,18.91517,18.850954,18.480822,18.183449,17.543244,16.887357,16.821955,16.89119,16.720945,16.393998,16.100707,15.304379,14.978724,14.530503
Austria,7.098418,7.42223,7.672516,8.066395,7.725188,7.438913,8.157425,7.795831,8.053761,8.390705,8.144956,7.666894,7.376798,7.390791,7.630246,7.821205,7.656615,7.728937,7.533858,7.500439,8.018391,8.446605,7.717516,7.661271,7.697945,8.059217,8.540791,8.47512,8.536568,8.286163,8.324789,8.874608,9.059613,9.625074,9.741683,9.77338,9.46609,9.094355,9.041824,8.157445,8.824134,8.602273,8.187518,8.208756,7.713954,7.794232,7.757477,7.966419,7.607108,7.745194,7.055866,7.39224,6.928581
Azerbaijan,4.669889,4.576174,4.784705,5.091301,5.390018,5.740027,5.823058,5.937119,6.159517,6.295818,6.537684,6.63045,6.648898,6.676724,6.685658,6.691799,6.721962,6.76063,6.649141,6.572058,7.821998,7.541182,6.082525,5.254977,4.543128,4.408674,3.658637,3.498281,3.45975,3.431499,3.577591,3.417139,3.363506,3.616121,3.551568,3.720193,3.764431,3.370224,3.677899,3.127511,2.941818,3.212573,3.47266,3.526867,3.641784,3.577747,3.526969,3.473299,3.497314,3.689231,3.508003,3.691569,3.912892
"Bahamas, The",7.791569,7.67014,8.802122,8.556658,7.313165,7.323023,6.324912,6.874067,6.827374,6.896552,6.649579,5.747335,4.634809,3.357608,3.239132,2.821603,2.904448,3.373356,3.387903,3.898546,3.937379,3.496942,2.961245,2.987242,3.253864,3.700645,4.06572,4.038867,4.574656,4.056456,3.079655,3.028038,3.277606,2.412266,2.572237,2.502515,3.144313,3.718295,3.802078,3.121193,3.491365,2.297911,2.708879,2.879249,2.972289,2.907517,3.209597,3.518189,3.082627,3.675176,2.963904,3.655143,3.535511
Bahrain,14.32416,14.037437,15.807495,18.664813,20.715289,20.276229,20.850861,21.837908,21.996915,22.370195,21.686566,22.268449,22.611329,22.651963,22.36953,22.418312,24.578858,23.16346,23.576404,22.963764,23.304332,22.998219,26.362841,27.77651,27.554256,27.274598,27.526177,27.600044,28.494218,27.900494,27.873277,27.82709,27.059065,26.024405,24.183087,26.293454,26.497672,24.874458,25.073947,23.468472,23.471136,24.270305,24.993631,25.639188,25.323948,24.424259,23.499676,22.484671,22.501632,24.833868,25.023842,24.832936,25.467881
Bangladesh,0.048354,0.047613,0.04844,0.055603,0.056912,0.066455,0.069519,0.070578,0.07388,0.080404,0.087694,0.086349,0.090781,0.095061,0.089685,0.097721,0.105069,0.113286,0.118841,0.128658,0.132281,0.123645,0.135686,0.143508,0.149581,0.177641,0.176886,0.188351,0.188858,0.197803,0.200509,0.238535,0.247203,0.255293,0.265287,0.279053,0.297067,0.312315,0.343404,0.365404,0.399267,0.425203,0.450583,0.460478,0.485261,0.536099,0.584485,0.622997,0.643226,0.662908,0.626122,0.702428,0.713557
Barbados,1.444743,1.442802,1.653061,1.632298,1.496947,1.714343,1.624629,1.73591,1.772603,1.77499,1.768817,1.751298,1.682372,1.733913,1.609525,1.951372,2.102347,1.98345,2.030159,2.309489,2.38145,2.261608,2.191596,2.079861,2.022781,2.065341,2.015754,2.394509,2.63188,2.756012,2.243735,2.152615,2.294547,2.397508,2.359539,2.402998,2.584796,2.475598,2.904508,2.913656,2.980639,2.458544,2.323986,2.631588,2.396281,2.578945,2.763968,2.433871,2.772246,3.088828,2.387663,2.30908,2.440156
Belarus,6.65542,6.610773,7.005379,7.598967,8.172687,8.735988,9.070322,9.328807,9.645963,9.920858,10.229368,10.353048,10.379419,10.363659,10.246408,10.179198,10.155213,10.146108,9.960454,9.589007,10.357208,9.965176,8.989592,7.744146,6.609406,5.92783,6.039498,6.108971,5.987671,5.80063,5.637485,5.53945,5.594256,5.698942,6.082899,6.210651,6.5033,6.386278,6.797397,6.481778,6.971905,6.654341,6.80323,6.822838,6.770471,6.253866,6.237252,6.366621,6.722115,6.502025,6.200469,6.303871,6.057008
Belgium,14.450623,13.378304,14.521391,15.029872,14.863096,13.056282,14.015249,13.735319,14.172175,15.098013,13.97578,12.768225,11.986137,11.004219,11.288026,11.038213,11.091499,11.092675,11.284962,11.352218,11.619474,11.968061,11.708676,11.473002,12.063631,12.06557,12.534405,12.212897,12.477546,12.024952,12.183656,12.225212,11.467673,11.889902,11.70497,11.357214,11.004718,10.626472,10.667599,9.937653,10.545839,9.466597,9.274766,9.351707,8.723312,9.084151,8.944297,8.770814,8.791286,8.73128,7.966943,8.28757,7.677662
