country_code,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
XE,Heavily indebted poor countries (HIPC),146.100097583984,142.316579600629,134.415315047831,128.471888328471,123.326110509051,114.699593733073,108.918038437956,104.102383459321,99.6378865309757,98.2895969280399,93.2212751268281,93.139476228705,85.8956616008329,82.2392532979546,80.1013664951844,77.2252196182014,75.0531588355873,74.0985605574824,71.5972927454548,70.6505060809458,68.1463092126609,69.7824667658958,70.9810827482134
CM,Cameroon,143.9,141,137.6,134.3,130.9,127.6,124.2,120.8,117.2,113.7,109.5,105.2,100.8,96.5,92.4,88.5,85.1,81.9,78.9,76.6,74.4,71.9,69.4
CI,Cote d'Ivoire,140.4,136.9,133.1,129.2,125.3,121.2,117.4,113.5,109,105.2,101.6,98.4,95.3,92,88.6,85.5,83,80.5,77.9,75.3,73,70.8,68.7
XG,IDA total,129.199281249144,125.226254418226,119.384292046139,114.646346006639,110.573176866386,104.623943899033,100.221727189192,96.3474817288562,93.4632287880326,91.1394377544346,87.54883055336,86.6153118509758,82.0984677269542,79.356290736495,78.2696531874441,76.4932195987004,74.8022236414607,73.6820694866744,70.7073225986315,69.4074968502149,67.4648126783118,68.0064112201956,68.2791646728512
ET,Ethiopia,140.1,133.8,127.4,121,114.6,108.3,102.4,96.9,91.8,87.1,82.7,78.6,74.8,71.2,67.7,64.4,61.3,58.4,55.8,53.6,51.5,70.4,68.1
XL,Least developed countries: UN classification,135.451790803909,131.328415459567,124.038280132838,118.420245030386,113.52081394987,105.839816864822,100.457635767686,95.873261787209,92.8247276095734,90.199391714479,85.6899688374813,85.4056306605431,78.9683107630127,75.6025193182824,74.8025837290209,72.8100125948255,71.054277919873,70.079615665245,66.2088432218735,64.9894842046459,62.7609575491969,64.1944650254906,65.2073899956534
MG,Madagascar,104.4,99.8,95.6,91.6,87.8,84.1,80.8,77.6,74.8,72.4,70.3,68.6,67.3,66.4,65.7,65.3,64.9,64.9,64.9,65,65.1,65,64.5
ZW,Zimbabwe,99.4,96.3,93.8,91.9,91.2,91.6,87.6,90.6,91.1,89.8,85.2,77.2,68,62.6,59.8,59.2,57.5,56.7,56.3,58.6,61.7,62.4,64
MZ,Mozambique,164.6,155.7,147.5,139.8,132.5,125.7,118.8,110.7,104.4,98.3,95.6,91.1,86.5,82.9,79.7,75.8,73.3,72,70.2,68.6,67.6,65.5,63.9
ZH,Africa Eastern and Southern,138.905542047276,135.625994096863,127.205825419527,121.162607864068,116.029119197957,106.324608181285,99.9110205751859,94.6953490064832,89.6062041509218,85.0921790428166,81.9293217658242,83.5500388786075,75.1809855113981,71.3718833965859,70.8075544059449,69.7257641113397,68.3630285644492,67.7377996223608,63.4229471071233,61.4916357499261,60.6228105603126,63.1054754572995,63.2067883145525
XI,IDA only,127.327180927315,123.420744238808,116.615942171355,111.460926785655,107.197583983109,99.9397845776829,95.0277688116048,90.7663707698683,87.9667991827962,85.8050310556144,81.5360914415985,81.4248111380107,75.6643702725594,72.6386136365906,72.0297513904006,70.2706407758469,68.6289269814824,67.7482970229584,64.0090692798865,62.7277314334513,60.5473011270219,61.9200563226145,62.9267579403154
LS,Lesotho,108.3,110.3,112.1,113.2,113.9,114.6,114.7,111.9,111.6,99.1,90.9,85.2,81.4,79.3,77.6,75.1,71.4,70.1,68.8,68.1,66.3,64,62
TG,Togo,119.2,115.7,112.2,108.8,105.5,102.4,99.3,96.5,93.7,90.9,88.3,85.6,82.9,80.2,77.7,75.2,72.8,70.4,68.1,66,63.9,62,60
PK,Pakistan,107.9,105.1,102.5,100.1,98,96,94.2,92.3,90.5,88.5,86.5,84.3,82,79.6,77.2,74.8,72.4,70.1,67.9,65.8,63.7,61.7,59.7
AF,Afghanistan,131.7,127.5,123.1,118.5,113.9,109.3,104.8,100.4,96.1,91.9,88,84.3,80.8,77.6,74.6,71.9,69.4,67.1,64.8,62.7,60.7,58.7,56.8
HT,Haiti,102.9,99.4,96.2,93.3,90.7,88.4,86.2,84.1,82.2,80.2,137.7,76.5,74.6,72.8,70.9,69.1,67.2,65.3,63.4,61.5,59.8,58.1,56.2
KI,Kiribati,65.8,64.1,62.5,61.4,60.7,60.1,59.7,59.2,58.7,58.2,57.7,57.5,57.4,57.7,58,58.6,59.1,59.6,59.6,59.1,58.3,57.2,55.9
DJ,Djibouti,98.5,96.3,94,91.6,89.3,86.9,84.6,82.3,79.9,77.7,75.5,73.4,71.3,69.2,67.2,65.2,63.2,61.2,59.4,57.5,55.7,54,52.1
AO,Angola,185,176.3,166.4,155.5,143.7,131.5,119.8,109,99.2,90.7,83.4,77.2,72,67.9,64.5,61.8,59.6,57.9,56.5,55.3,54.2,53.2,51.9
SD,Sudan,102,98.6,95.2,91.9,101.1,98.8,83,80.4,77.9,75.5,73.4,71.3,69.3,67.3,65.4,63.5,61.6,59.7,57.8,56.1,54.3,52.7,51
TL,Timor-Leste,111.5,106.4,101.5,96.8,92.3,88,84,80.4,76.9,73.9,71,68.4,65.9,63.9,61.9,60.2,58.7,57.3,56,54.8,53.4,52,50.7
BI,Burundi,152.4,147.5,142.3,136.6,130.4,123.7,116.6,109.5,102.6,96.1,90.2,84.7,79.6,74.9,70.6,66.9,63.7,60.9,58.5,56.2,54.3,52.3,50.3
MW,Malawi,171,239,143.2,130,118.7,109.7,102.7,96.9,91,85.3,80.1,74,67.9,62.9,60,57.4,55.8,53.8,52,51.3,50.4,50,50.1
UG,Uganda,143.9,137.2,129.9,122.1,114.2,106.5,99.2,92.5,86.4,81.2,76,70.9,66.5,62.8,60.2,57.9,55.6,54,52.7,51.6,50.9,50.2,50
ZM,Zambia,151.8,143.2,132.9,122.1,111.7,102.7,94.8,89.1,84.2,78.4,74.3,71.8,69.2,66,62.6,60.2,57.1,55.2,54.7,53.5,52.5,50.4,49.5
SZ,Eswatini,112.5,115.7,117,117.9,118,117,106.4,100.3,97.9,92.4,82.1,67.6,62.7,59.7,60,57.5,54.4,53.6,50.4,51.5,50.5,47.9,47.3
XN,Lower middle income,97.8,94.1,90.4,86.8,83.5,80.2,77.2,74.2,71.9,68.7,66.4,63.7,61.3,59.1,57.1,55.3,53.5,52,50.6,49.3,48.1,47,46
GM,"Gambia, The",112.8,108.1,103.6,99.2,94.9,90.7,86.8,83,79.4,76,72.7,69.7,66.8,64,61.4,58.9,56.6,54.3,52.3,50.4,48.6,47,45.3
ZT,IDA & IBRD total,83.2518339608636,80.8212518784276,77.388816003674,74.3042022287337,71.5345625751571,67.7155522211802,64.6848752006473,61.8548777157548,59.3783854885707,57.2665099336567,54.8743175277049,53.5375021107104,50.4019591519664,48.7798966691799,47.43517108688,46.3869965708754,45.0167897925032,44.1583028931606,43.3739482895554,42.7794421008687,42.4922083281563,42.9382742931704,43.1834698029139
XO,Low & middle income,83.3856873683298,81.0114760953915,77.6075518007386,74.3922544688877,71.6824730556884,67.8489943642323,64.8617071754421,62.1139751602441,59.7134649778517,57.6508939030279,55.2545912439136,53.9390097723988,50.7754066669915,49.1561592302276,47.8414263874162,46.8150217955928,45.4208578083188,44.5413837946826,43.7590836670151,43.1466153282954,42.8908194471954,42.6785678134824,42.9736637493275
PG,Papua New Guinea,72,70.8,69.6,68.4,67.2,65.9,64.6,63.2,61.8,60.3,58.9,57.5,56.1,54.7,53.3,57.3,50.4,48.9,47.5,46.1,44.7,43.2,41.9
NA,Namibia,78.2,77.6,76.6,75.6,74.4,71,66,62,57.5,53.2,50.3,50,52.6,50.8,50,51.8,51.4,49.8,48.5,46.6,44.8,43.2,41.6
CG,"Congo, Rep.",112.5,109.3,104.6,98.9,92.3,85.7,79.5,73.9,69.2,65.3,62.4,60,57.9,56.2,54.5,52.7,51,49.3,47.6,52.2,44.5,43,41.5
KM,Comoros,79.9,76.8,73.8,71,68.3,65.8,63.4,61.2,59.2,57.3,55.6,54,52.5,51.2,50,48.9,47.9,46.9,45.8,44.8,43.7,42.6,41.4
TM,Turkmenistan,68.7,65.4,61.9,58.6,55.4,52.6,50.1,48.1,46.4,45,44,43.4,42.9,42.8,42.9,43.2,43.5,43.8,43.8,43.5,42.9,42.1,41.1
YE,"Yemen, Rep.",92.9,88.2,83.5,79,74.7,70.6,66.9,63.4,60.2,57.5,55,53.1,51.6,49.6,48.7,49.3,47.9,47.5,47.3,46.1,43.4,42.6,41.1
T3,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",78.576267719972,75.781776903931,73.2391042558439,70.9241555681423,68.407279328452,66.1292380683344,64.2122839401497,62.1665400488655,60.3605083500064,58.6599411220299,56.8962811424056,55.1226592914287,53.6353878519067,51.8315892558468,50.0469399717172,48.6252139870489,47.1020419286366,46.0187377454325,45.2801998035535,44.2347877125154,42.9669015197404,41.9458905749115,40.7524339713697
XQ,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",78.1540605481908,75.3720938075077,72.8426609226077,70.5468743633933,68.0443557108093,65.7828528420864,63.8828983214164,61.8559491743971,60.0605390860058,58.3663299864853,56.606004469962,54.8421887091685,53.3649585528709,51.5708395126252,49.8162056878113,48.3695161809907,46.8492727969889,45.7708991752807,45.0311073861595,43.9889081854891,42.7294271759822,41.7122880124507,40.5260963028876
KE,Kenya,95.2,90.5,85.6,80.8,76.1,71.2,66.8,62.9,58,55.2,53.1,51.7,50.7,49.4,48.3,46.8,45.5,44.7,43.7,42.7,42.1,41.3,40.5
SN,Senegal,128.9,121.7,113.2,104.2,95.5,87.6,80.8,75,70.1,66.1,62.8,60,57.6,55.5,53.7,52.2,50.8,49.4,47.9,46.2,44.2,42.2,40.1
TZ,Tanzania,128,120.3,112.4,105,98.3,92.2,86.7,81.3,76.6,72,68.2,64.6,61.7,59,56.3,54.3,52,49.8,47.6,45.6,43.8,41.7,40.1
